"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1938",,,"        24","0","        55","0",,,,,,,"37.79"," ,0","66.0","0","76.5","0","55.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1939",,,"        37","0","        64","0",,,,,,,"46.59"," ,0","65.5","0","77.0","0","54.0","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1940",,,"        53","0","        43","0",,,,,,,"50.75"," ,0","62.6","0","74.0","0","51.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1941",,,"        52","0","        65","0",,,,,,,"61.74"," ,0","64.7","0","75.9","0","53.4","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1942",,,"        50","0","        75","0",,,,,,,"37.00"," ,0","65.1","0","76.9","0","53.4","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1943",,,"        48","0","        55","0",,,,,,,"48.83"," ,0","64.3","0","75.4","0","53.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1944",,,"        34","0","        61","0",,,,,,,"47.62"," ,0","64.7","0","75.6","0","53.8","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1945",,,"        30","0","        51","0","        88"," ","        35"," ",,,"62.46"," ,0","65.8","0","76.1","0","55.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1946",,,"        23","0","        47","0","       207"," ","        65"," ",,,"50.00"," ,0","66.3","0","77.2","0","55.3","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1947",,,"        38","0","        48","0","       233"," ","        78"," ",,,"60.62"," ,0","64.4","0","74.8","0","54.0","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1948",,,"        29","0","        55","0","       229"," ","        79"," ",,,"63.95"," ,0","65.2","0","75.7","0","54.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1949",,,"        18","0","        46","0","       148"," ","        70"," ",,,"48.92"," ,0","66.6","0","77.0","0","56.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1950",,,"        30","0","        36","0","       119"," ","        72"," ",,,"48.72"," ,0","65.3","0","75.9","0","54.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1951",,,"        35","0","        57","0","       155"," ","        63"," ",,,"34.07"," ,0","64.9","0","75.7","0","54.1","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1952",,,"        22","0","        63","0","       131"," ","        77"," ",,,"47.35"," ,0","65.4","0","76.2","0","54.6","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1953",,,"        23","0","        47","0","       144"," ","        54"," ",,,"47.58"," ,0","65.7","0","76.2","0","55.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1954",,,"        40","0","        75","0","       135"," ","        40"," ",,,"30.33"," ,0","65.5","0","77.0","0","54.0","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1955",,,"        35","0","        32","0","       142"," ","        59"," ",,,"36.13"," ,0","64.7","0","75.3","0","54.1","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1956",,,"        33","0","        40","0","       138"," ","        63"," ",,,"49.75"," ,0","64.9","0","75.6","0","54.3","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1957",,,"        23","0","        33","0","       173"," ","        51"," ",,,"60.86"," ,0","64.9","0","75.1","0","54.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1958",,,"        49","0","        43","0","       163"," ","        49"," ",,,"72.18"," ,0","63.0","0","72.9","0","53.1","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1959",,,"        27","0","        20","0","       164"," ","        48"," ",,,"67.16"," ,0","64.4","0","74.1","0","54.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1960",,,"        56","0","        50","0","       153"," ","        55"," ",,,"52.44"," ,0","63.7","0","74.5","0","52.9","0",,,,,,,"51.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1961",,,"        44","0","        47","0","       167"," ","        59"," ","59.4","0","50.05"," ,0","64.5","0","75.3","0","53.7","0",,,,,,,"50.6","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1962",,,"        39","0","        43","0","       165"," ","        64"," ",,,"61.17"," ,0","64.1","0","74.8","0","53.5","0",,,,,,,"55.3","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1963",,,"        48","0","        63","0","       157"," ","        55"," ","122.9","0","54.99"," ,0","64.2","0","75.3","0","53.1","0",,,,,,,"59.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1964",,,"        30","0","        46","0","       178"," ","        51"," ","55.6","0","73.02"," ,0","65.1","0","75.5","0","54.7","0",,,,,,,"54.1","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1965",,,"        38","0","        39","0","       155"," ","        68"," ","59.7","0","53.88"," ,0","64.7","0","75.3","0","54.2","0","   146916","X",,,,,"54.1","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1966",,,"        46","0","        37","0","       158"," ","        46"," ","59.2","0","53.62"," ,0","63.6","0","74.1","0","53.0","0","   158448","X",,,,,"58.6","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1967",,,"        40","0","        56","0","       156"," ","        39"," ",,,"43.68"," ,0","64.3","0","75.8","0","52.8","0","   163770","X",,,,,"59.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1968",,,"        68","0","        55","0","       144"," ","        51"," ",,,"45.87"," ,0","63.4","0","74.6","0","52.3","0","   159432","X",,,,,"68.9","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1969",,,"        56","0","        43","0","       158"," ","        51"," ","59.9","0","52.13"," ,0","63.0","0","73.0","0","52.9","0","   160362","X",,,,,"51.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1970",,,"        44","0","        69","0","       190"," ","        54"," ",,,"45.96"," ,0","64.8","0","75.6","0","54.0","0","   174456","X",,,,,"43.6","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1971",,,"        28","0","        46","0","       195"," ","        69"," ",,,"60.56"," ,0","65.8","0","76.1","0","55.4","0","   178452","X",,,,,"71.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1972",,,"        20","0","        50","0","       177"," ","        41"," ","64.2","0","42.89"," ,0","65.4","0","76.1","0","54.8","0",,,,,,,"56.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1973",,,"        36","0","        60","0","       154"," ","        58"," ",,,"72.19"," ,0","66.0","0","76.2","0","55.8","0","   174750","X",,,,,"58.6","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1974",,,"        21","0","        26","0","       138"," ","        66"," ",,,"54.65"," ,0","65.7","0","76.2","0","55.3","0","   188622","X",,,,,"51.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1975",,,"        24","X","        48","X","       148"," ","        61"," ",,,"56.24"," ,X","66.4","X","76.5","X","56.3","X","   180120","X",,,,,"55.3","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1976",,,"        40","0","        26","0","       136"," ","        41"," ",,,"48.52"," ,0","63.8","0","74.6","0","53.1","0","   192186","X","       290","X","36.9","X","52.8","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1977",,,"        53","0","        78","0","       127"," ","        57"," ",,,"41.24"," ,0","65.4","0","76.0","0","54.7","0","   204462","X","       280","X","32.0","X","56.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1978",,,"        51","0","        52","0","       162"," ","        56"," ",,,"40.91"," ,0","65.0","0","75.4","0","54.5","0","   192246","X","       200","X","40.0","X","66.7","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1979",,,"        42","0","        53","0","       161"," ","        49"," ",,,"57.99"," ,0","64.7","0","75.2","0","54.1","0","   193056","X","       110","X","38.0","X","56.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1980",,,"        41","0","        80","0","       156"," ","        40"," ",,,"40.93"," ,0","64.6","0","74.9","0","54.3","0","   178158","X","       270","X","34.9","X","62.2","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1981",,,"        50","0","        73","0","       134"," ","        52"," ",,,"49.46"," ,0","64.3","0","75.4","0","53.3","0","   191250","X","        30","X","40.0","X","56.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1982",,,"        26","0","        38","0","       183"," ","        57"," ",,,"47.04"," ,0","65.6","0","75.1","0","56.1","0",,,"        30","X","34.9","X",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1983",,,"        20","0","        53","0","       165"," ","        49"," ",,,"54.11"," ,0","64.7","0","73.9","0","55.5","0","   147396","X","        90","X","36.0","X","60.8","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1984","7.8","X","        23","0","        43","0","       167"," ","        54"," ",,,"46.25"," ,0","65.6","0","75.3","0","55.9","0","   170853","X","       310","X","36.9","X","49.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1985","8.7","X","        35","0","        57","0","       161"," ","        55"," ",,,"50.38"," ,0","66.5","0","76.2","0","56.8","0","   176259","X","       150","X","36.9","X","48.3","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1986","8.5","X","        20","0","        83","0","       146"," ","        61"," ",,,"48.45"," ,0","67.5","0","77.3","0","57.7","0","   158131","X","       330","X","36.9","X","64.4","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1987","8.5","X","        23","0","        72","0","       130"," ","        59"," ",,,"56.71"," ,0","65.6","0","75.5","0","55.7","0","   136646","X","       320","X","31.1","X","52.8","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1988","8.1","X","        37","0","        66","0","       164"," ","        46"," ",,,"42.58"," ,0","64.7","0","75.1","0","54.4","0","   147086","X","        80","X","34.9","X","48.3","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1989","8.3","X","        22","0","        73","0","       171"," ","        71"," ",,,"56.08"," ,0","66.7","0","76.5","0","56.9","0","   124260","X","       210","X","51.9","X","97.8","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1990","8.1","X","         5","0","        97","0","       162"," ","        55"," ","79.0","0","45.15"," ,0","69.2","0","79.4","0","59.1","0","   138163","X","       300","X","34.9","X","55.3","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1991","8.7","X","        12","0","        71","0","       160"," ","        78"," ",,,"49.74"," ,0","67.5","0","76.7","0","58.3","0","   175876","X","       320","X","40.0","X","68.9","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1992","8.3","X","         7","0","        47","0","       151"," ","        65"," ",,,"53.89"," ,0","65.9","0","75.2","0","56.6","0","   161834","X","       270","X","30.0","X","58.6","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1993","8.1","X","        15","0","        72","0","       142"," ","        61"," ",,,"52.70"," ,0","66.1","0","75.7","0","56.6","0","   171490","X","       210","X","46.1","X","68.9","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1994","7.8","X","        19","0","        45","0","       132"," ","        75"," ",,,"70.55"," ,0","66.8","0","76.4","0","57.1","0","   170105","X","       210","X","34.9","X","52.8","X"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1995","8.5","X","        29","0","        65","0","       162"," ","        55"," ",,,"49.52"," ,0","66.3","0","76.0","0","56.6","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1996","8.3","X","        38","0","        42","0","       233"," ","        63"," ",,,"45.76"," ,0","64.9","0","75.2","0","54.6","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1997","7.8","X","        17","0","        35","0","       250"," ","        56"," ",,,"62.60"," ,0","65.2","0","75.1","0","55.4","0","   181745","X",,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1998","7.8","X","        13","0","        75","0","       294"," ","        67"," ",,,"67.74"," ,0","67.9","0","77.7","0","58.0","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1999","8.1","X","        25","0","        60","0","       267"," ","        50"," ",,,"46.43"," ,0","66.1","0","76.7","0","55.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2000","7.8","X","        34","0","        57","0","       210"," ","        57"," ",,,"45.97"," ,0","64.9","0","75.6","0","54.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2001","7.6","X","        25","0","        41","0","       179"," ","        60"," ",,,"40.01"," ,0","66.1","0","76.7","0","55.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2002","7.6","X","        29","0","        57","0","       193"," ","        50"," ",,,"61.02"," ,0","66.6","0","76.7","0","56.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2003","7.6","X","        30","0","        46","0","       194"," ","        64"," ",,,"51.04"," ,0","65.6","0","75.5","0","55.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2004","8.3","X","        30","0","        51","0","       236"," ","        53"," ",,,"39.26"," ,0","66.0","0","76.0","0","56.0","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2005","7.8","X","        24","0","        56","0","       245"," ","        57"," ",,,"46.19"," ,0","66.0","0","76.0","0","55.9","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2006","7.4","W","        19","0","        69","0","       212"," ","        55"," ",,,"49.31"," ,0","66.6","0","77.3","0","55.9","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2007","7.6","W","        19","0","        70","0","       205"," ","        48"," ",,,"42.07"," ,0","67.1","0","77.6","0","56.5","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2008","8.3","W","        24","0","        59","0","       227"," ","        48"," ",,,"47.35"," ,0","66.2","0","76.6","0","55.7","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2009","7.6","W","        26","0","        65","0","       230"," ","        49"," ",,,"56.00"," ,0","65.9","0","75.7","0","56.1","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2010","7.2","W","        51","0","        91","0","       218"," ","        55"," ",,,"57.59"," ,0","65.5","0","75.8","0","55.2","0",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2011","7.6","W","        21","X","        90","X","       186"," ","        49"," ",,,"37.03"," ,X","67.3","X","78.1","X","56.5","X",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2012","7.2","X","        16","X","        60","X","       128"," ","        57"," ",,,"43.99"," ,X","67.3","X","77.8","X","56.8","X",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2013","7.4","W","        19","W","        48","W","        98"," ","        16"," ",,,"58.13"," ,W","66.6","W","76.5","W","56.7","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2014","7.2","W","        24","W","        84","W","       127"," ","        23"," ",,,"53.02"," ,W","66.9","W","77.1","W","56.7","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2015","7.4","W","        24","W","        71","W","       167"," ","        53"," ",,,"74.89"," ,W","67.8","W","77.4","W","58.2","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2016","7.8","W","        20","W","        98","W","       142"," ","        58"," ",,,"59.67"," ,W","68.4","W","78.5","W","58.2","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017","7.8","W","        13","W","        62","W","       193"," ","        76"," ",,,"52.90"," ,W","68.2","W","78.3","W","58.1","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018","7.8","W","        20","W","        89","W","       197"," ","        78"," ",,,"57.71"," ,W","67.9","W","77.5","W","58.3","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2019","7.6","W","        15","W","        82","W","       184"," ","        63"," ",,,"49.47"," ,W","68.0","W","78.1","W","58.0","W",,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2020",,,,,,,"       147"," ","        77"," ",,,,,,,,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1939",,,"        15","0","       143","0",,,,,,,"23.61"," ,0","68.8","0","81.2","0","56.4","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1940",,,"        35","0","       102","0",,,,,,,"38.97"," ,0","65.9","0","77.4","0","54.3","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1941",,,"         7","0","        99","0",,,,,,,"45.41"," ,0","67.7","0","77.6","0","57.8","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1942",,,"        17","0","        94","0",,,"         4"," ",,,"32.22"," ,0","67.2","0","78.0","0","56.3","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1943",,,"        26","0","       100","0",,,"        37"," ",,,"24.76"," ,0","67.5","0","78.5","0","56.6","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1944",,,"        20","0","        91","0",,,"        51"," ",,,"42.98"," ,0","67.2","0","77.4","0","57.0","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1945",,,"        11","0","       104","0",,,"        60"," ",,,"40.88"," ,0","68.2","0","78.6","0","57.8","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1946",,,"        13","0","        86","0",,,"        54"," ",,,"47.31"," ,0","68.2","0","78.1","0","58.2","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1947",,,"        19","0","       122","0",,,"        21"," ",,,"21.58"," ,0","67.1","0","77.8","0","56.4","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1948",,,"        41","0","       132","0","        77"," ","        42"," ",,,"21.02"," ,0","68.0","0","79.6","0","56.5","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1949",,,"        18","0","       114","0","        82"," ","        55"," ",,,"36.35"," ,0","67.9","0","78.6","0","57.3","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1950",,,"        20","0","       107","0","        87"," ","        41"," ",,,"25.82"," ,0","68.8","0","79.7","0","57.8","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1951",,,"        27","0","       116","0","        65"," ","        33"," ",,,"29.00"," ,0","68.9","0","80.5","0","57.3","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1952",,,"         8","0","       110","0","        65"," ","        36"," ",,,"27.74"," ,0","68.0","0","79.4","0","56.6","0",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","1953",,,"        13","0","       124","0","        87"," ","        36"," ",,,"29.70"," ,0","68.8","0","80.2","0","57.5","0",,,,,,,,
