"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093230","1969",,"2.8","2.8",,,,"        16","       225","        34","        99","         0",,,,"-26.7",,"30.0","-0.6","-2.2","-8.9","-8.9","-8.9","-2.2","-2.2","-4.4","-7.2","-11.1",,,,"5.2","13.0","-2.7",,,,
"USW00093230","1971",,"18.5","18.5",,,,"        13","       229","        29","        95","         0",,,,"-23.3",,"31.1","0.0","-3.3","-5.0","-7.2","-10.6","0.0","-2.8","-5.0","-10.6","-10.6","4617.8","4617.8",,"5.1","12.6","-2.5",,,,
"USW00093230","1972",,"15.8","15.8",,,,"        17","       195","        17","       101","         3",,,,"-33.9",,"33.3","-3.3","-3.3","-5.6","-8.9","-8.9","-0.6","-2.8","-4.4","-6.7","-9.4","4520.3","4520.3",,"5.9","13.8","-2.1",,,,
"USW00093230","1973",,"0.5","0.5",,,,"         7","       217","        17","       108","         0",,,,"-21.1",,"29.4","-4.4","-4.4","-4.4","-8.3","-11.7","0.0","-2.2","-5.0","-7.8","-15.0","4686.9","4686.9",,"5.6","13.3","-2.0",,,,
"USW00093230","1974",,"2.2","2.2",,,,"         6","       241","        19","       120","         0",,,,"-22.8",,"29.4","-2.2","-2.2","-4.4","-8.3","-10.6","-1.7","-2.8","-4.4","-13.9","-13.9","4456.7","4456.7",,"5.9","14.1","-2.3",,,,
"USW00093230","1975",,"1.5","1.5",,,,"        12","       232","        36","        98","         0",,,,"-21.1",,"30.6","-1.1","-2.8","-4.4","-11.1","-11.1","-0.6","-4.4","-4.4","-7.8","-8.9","4751.2","4751.2",,"4.5","12.2","-3.2",,,,
"USW00093230","1976",,"2.7","2.7",,,,"         3","       248","        10","        79","         0",,,,"-22.8",,"30.0","0.0","-3.3","-4.4","-8.3","-10.6","0.0","-3.9","-6.1","-7.8","-10.0","4650.2","4650.2",,"5.8","14.6","-2.9",,,,
"USW00093230","1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4638.9","4638.9",,,,,,,,
"USW00093230","1978",,"6.5","6.5",,,,"         8","       266","        21","        87","         1",,,,"-23.3",,"32.2","0.0","-2.2","-5.6","-6.7","-8.9","-1.1","-2.2","-4.4","-8.9","-8.9",,,,"4.8","12.9","-3.2",,,,
"USW00093230","1979",,"1.1","1.1",,,,"        15","       252","        25","       115","         0",,,,"-28.9",,"30.0","-1.7","-2.2","-10.6","-10.6","-10.6","-2.8","-2.8","-5.0","-9.4","-9.4","5066.8","5066.8",,"4.8","13.4","-3.8",,,,
"USW00093230","1980",,"1.1","1.1",,,,"         2","       262","        12","        91","         0",,,,"-18.9",,"31.7","-0.6","-3.3","-4.4","-7.8","-9.4","0.0","-2.8","-4.4","-7.8","-9.4","4830.7","4830.7",,"5.2","13.4","-2.9",,,,
"USW00093230","1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4421.8","4421.8",,,,,,,,
"USW00093230","1982",,,,,,,"         6","       194",,,,,,,"-26.7",,,"-0.6","-3.3","-5.6","-7.8","-10.0","0.0","-2.8","-5.6","-9.4","-9.4",,,,,,"-1.4",,,,
"USW00093230","1983",,"7.2","7.2",,,,"         0","       173","         5","        97","         2",,,,"-15.6",,"33.3","-0.6","-2.2","-5.6","-6.7","-10.0","0.0","-2.2","-4.4","-8.9","-8.9",,,,"6.7","13.7","-0.4",,,,
"USW00093230","1984",,"21.8","21.8",,,,"         8","       203","         7","       123","         1",,,,"-23.3",,"32.8","0.0","-2.2","-7.2","-7.2","-9.4","0.0","-4.4","-4.4","-6.7","-8.9","3773.0","3773.0",,"7.3","15.7","-1.1",,,,
"USW00093230","1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4185.2","4185.2",,,,,,,,
"USW00093230","1990",,"31.6","31.6",,,,"        17","       202","        20","       122","         4",,,,"-27.2",,"32.8","-0.6","-6.1","-6.1","-8.3","-9.4","0.0","-3.9","-4.4","-6.7","-13.3",,,,"6.4","15.5","-2.8",,,,
"USW00093230","1991",,"2.5","2.5",,,,"         0","       245","         7","       125","         0",,,,"-17.2",,"31.1","-3.3","-3.3","-4.4","-10.0","-10.0","-0.6","-3.3","-4.4","-7.8","-13.3","4131.3","4131.3",,"6.2","15.1","-2.6",,,,
"USW00093230","1992",,"9.4","9.4",,,,"         8","       240","         7","       136","         1",,,,"-25.0",,"32.2","-1.7","-2.2","-5.0","-11.1","-11.1","-1.1","-4.4","-4.4","-6.7","-10.0","4057.5","4057.5",,"6.8","16.0","-2.4",,,,
"USW00093230","1993",,"4.2","4.2",,,,"        12","       229","        11","       103","         1",,,,"-29.4",,"32.2","-0.6","-2.8","-5.0","-8.9","-8.9","-0.6","-2.2","-5.0","-6.7","-12.2","4428.3","4428.3",,"5.7","14.5","-3.2",,,,
"USW00093230","1994",,"11.2","11.2",,,,"        15","       247","        16","       120","         0",,,,"-23.3",,"31.7","0.0","-2.2","-4.4","-7.2","-10.0","0.0","-2.8","-4.4","-6.7","-10.6","4354.6","4354.6",,"6.0","15.5","-3.4",,,,
"USW00093230","1995",,"5.6","5.6",,,,"         4","       232","         7","       111","         0",,,,"-18.9",,"31.1","-0.6","-2.2","-6.7","-6.7","-10.0","0.0","-2.8","-5.0","-8.9","-8.9","4624.9","4624.9",,"6.6","15.2","-2.0",,,,
"USW00093230","1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4064.9","4064.9",,,,,,,,
"USW00093230","1998",,"12.7","12.7",,,,"        11","       232","        11","        87","         2",,,,"-25.6",,"32.8","0.0","-2.2","-4.4","-7.2","-10.0","0.0","-3.9","-5.0","-9.4","-9.4",,,,"5.4","13.4","-2.6",,,,
"USW00093230","1999",,"2.2","2.2",,,,"         3","       227","         8","       124","         0",,,,"-19.4",,"31.7","0.0","-2.8","-6.1","-7.2","-11.1","0.0","-2.2","-4.4","-6.7","-11.1","4468.7","4468.7",,"6.1","15.1","-2.9",,,,
"USW00093230","2000",,"8.7","8.7",,,,"         0","       238","         7","       126","         1",,,,"-16.7",,"32.8","0.0","-4.4","-4.4","-7.8","-12.8","0.0","-2.8","-12.2","-12.2","-12.2","3887.1","3887.1",,"6.7","15.3","-1.9",,,,
"USW00093230","2001","2.5","7.6","7.6","        61","        31","         1","         8","       211","        26","       138","         0","         5","        14","         3","-21.7","34.0","31.1","-0.6","-3.9","-4.4","-6.7","-12.8","-0.6","-2.2","-6.7","-6.7","-10.6","4438.3","4438.3","245.0","6.4","15.0","-2.2","       200","       180","17.0","24.1"
"USW00093230","2002","2.5","16.0","16.0","        52","        17","         2","        11","       243","        21","       113","         2","         7","        26","         4","-24.4","38.9","33.9","0.0","-2.8","-5.6","-7.2","-10.6","-1.7","-2.2","-5.0","-10.6","-10.6","4354.8","4354.8","196.4","6.1","14.9","-2.6",,,,
"USW00093230","2003","2.4","25.0","25.0","        68","        32","         4","         2","       232","        11","       141","         1","       100","        27","        17","-21.1","36.3","32.2","-0.6","-2.2","-5.0","-6.7","-13.3","0.0","-2.2","-6.7","-6.7","-9.4","4247.5","4247.5","381.1","6.7","14.8","-1.4","       190","       190","16.5","24.1"
"USW00093230","2004","2.5","1.9","1.9","        58","        29","         5","         5","       242","        13","       124","         0","        81","        24","        14","-25.0","31.0","30.6","0.0","-2.8","-4.4","-9.4","-9.4","0.0","-2.2","-4.4","-7.2","-10.0","4287.3","4287.3","416.5","6.1","14.4","-2.2","       170","       200","17.9","25.0"
"USW00093230","2005","2.5","17.0","17.0","        95","        59","         6","         2","       225","        10","       101","         0","       118","        40","        18","-20.0","71.4","31.7","0.0","-5.0","-5.0","-6.7","-8.9","0.0","-3.3","-5.0","-8.3","-9.4","4643.1","4643.1","791.6","6.3","14.0","-1.4","       190","       200","17.9","23.7"
"USW00093230","2006","2.5","29.0","29.0","        93","        45","         2","         4","       224","        21","       118","         2","       124","        37","        23","-20.6","43.2","32.2","0.0","-2.8","-5.6","-8.3","-11.1","-0.6","-2.8","-6.7","-6.7","-10.0","4300.1","4300.1","463.7","6.3","14.5","-2.0","       200","       190","20.6","28.2"
"USW00093230","2007","2.3","17.2","17.2","        62","        34","         1","         4","       226","        18","       118","         1","        88","        26","        13","-21.1","28.4","32.8","0.0","-2.8","-4.4","-7.2","-8.9","0.0","-3.3","-9.4","-9.4","-9.4","4274.2","4274.2","295.7","6.7","15.2","-1.9","       180","       220","14.8","24.1"
"USW00093230","2008","2.1","9.2","9.2","        55","        34","         1","         5","       231","        26","       119","         2","       110","        32","         7","-23.9","51.8","32.2","-2.2","-2.2","-5.6","-6.7","-12.8","0.0","-2.8","-5.6","-7.2","-10.6","4443.9","4443.9","337.3","6.4","15.1","-2.4",,,,
"USW00093230","2009","2.2","27.7","27.7","        78","        41","         2","         5","       198","        13","       122","         2","        84","        33","        16","-25.0","64.3","32.2","-1.1","-2.8","-5.6","-8.3","-10.6","0.0","-2.2","-4.4","-7.2","-11.1","4087.6","4087.6","459.0","7.1","15.6","-1.4","       190","       190","16.5","25.9"
"USW00093230","2010","2.4","23.4","23.4","       108","        57","         5","         3","       204","        10","       107","         2","       128","        59","        14","-22.8","95.0","32.2","0.0","-3.3","-6.7","-6.7","-16.1","-1.1","-2.8","-7.2","-7.2","-10.6","4243.1","4243.1","678.1","6.9","14.7","-0.8","       200","       190","17.9","30.4"
"USW00093230","2011","2.3","8.7","8.7","        71","        41","         2","         5","       211","         9","       118","         0","        81","        33","         6","-26.1","26.4","31.1","0.0","-2.8","-6.7","-6.7","-10.0","-2.8","-2.8","-7.8","-7.8","-11.1","4215.7","4215.7","409.1","6.6","14.9","-1.7","       200",,"17.4",
"USW00093230","2012","2.4","14.7","14.7","        80","        43","         4","         6","       199","        12","       132","         0","        79","        39",,"-22.2","55.9","31.7","-1.1","-2.2","-6.1","-8.3","-10.6","-1.1","-2.8","-4.4","-7.2","-10.0","3956.4","3956.4","546.1","7.5","15.9","-1.0","       190","       150","17.9","38.0"
"USW00093230","2013",,,,,,,,,,,,"         4","        10",,,,,,,,,,,,,,,,,,,,,,,,
"USW00093230","2014","2.3","50.7","50.7","        81","        44","         3","         0","       195","         4","       136","         5","         1",,,"-14.9","50.0","33.3","0.0","-3.8","-6.6","-8.2","-9.3","0.0","-2.7","-5.5","-12.7","-12.7",,,"517.8","9.1","17.5","0.7","       190","       190","21.0","30.9"
"USW00093230","2015","2.1",,,"        85","        45","         6",,,,,,"         4","         1",,,"38.9",,,,,,,,,,,,"3248.5","3248.5","468.9",,,,"       190","       190","21.5","29.5"
"USW00093230","2016","2.5","10.6","10.6","        81","        49","         7","         4","       199","         6","       112","         2","         3",,,"-22.1","65.5","32.8","0.0","-2.7","-4.9","-8.2","-9.3","-0.5","-3.2","-7.7","-7.7","-9.3",,,"712.8","7.5","15.8","-0.7","       190","       190","17.0","25.9"
"USW00093230","2017","2.5","40.7","40.7","        85","        53","        11","         1","       205","        11","       115","         1","         4",,,"-18.2","96.5","32.2","-0.5","-3.8","-4.9","-9.9","-9.9","-2.1","-3.2","-5.5","-9.3","-9.3","4096.7","4096.7","1069.0","7.4","15.3","-0.5","       180","       190","19.2","27.7"
"USW00093230","2018","2.2","27.6","27.6","        69","        42","         3","         4","       213","        18","       122","         1","        15","         2",,"-21.0","55.6","32.2","-0.5","-2.7","-5.5","-7.7","-11.6","-1.6","-4.3","-7.1","-7.1","-9.9","3974.7","3974.7","494.9","7.2","15.7","-1.2","       200","       180","17.4","28.6"
"USW00093230","2019","2.4","9.5","9.5","        87","        51","         5","         8","       221","        18","       101","         0","        11","         5","         1","-24.9","56.9","30.0","-1.0","-3.2","-6.0","-7.1","-9.9","-0.5","-3.8","-5.5","-7.1","-9.9","4249.3","4249.3","614.8","6.3","14.2","-1.7","       200","       200","17.4","30.4"
"USW00093230","2020",,,,,,,,,,,,"         6","         1","         3",,,,,,,,,,,,,,"4178.6","4178.6",,,,,,,,
