Station,Year,Avg. Wind Speed,Cooling Degree Days (Season-to-Date),Cooling Degree Days,Num. of Days (>= 0.3 mm),Num. of Days (>= 2.5 mm),Num. of Days (>= 25.4 mm),Num. of Days (>= 25 mm) of Snow Depth,Num. of Days (>= 25 mm) of Snowfall,Num. of Days (<= -17.8) of Max Temp,Num. of Days (<= 0) of Min Temp,Num. of Days (<= 0) of Max Temp,Num. of Days (>= 21.1) of Max Temp,Num. of Days (>= 32.2) of Max Temp,Num. of Days with Fog,Num. of Days with Heavy Fog,Num. of Days with Thunderstorms,Extreme Min Annual Temp.,Highest Daily Snow Depth,Highest Daily Snowfall,Highest Daily Precipation,Extreme Max Annual Temp.,Temp of First Freeze (0 deg),Temp of First Freeze (-2.2 deg),Temp of First Freeze (-4.4 deg),Temp of First Freeze (-6.7 deg),Temp of First Freeze (-8.9 deg),Temp of Last Freeze (0 deg),Temp of Last Freeze (-2.2 deg),Temp of Last Freeze (-4.4 deg),Temp of Last Freeze (-6.7 deg),Heating Deg Days (Season-to-Date),Heating Deg Days,Total Annual Precipation,Avg. Annual % of Possible Sunshine,Total Annual Snowfall,Avg. Annual Temp,Avg. Annual Max Temp,Avg. Annual Min Temp,Annual Total Sunshine (Minutes),Wind Direction for Max Wind Speed,Wind Direction for Peak Wind Gust Speed (Fastest 5-Second),Wind Direction for Peak Wind Gust Speed,Wind Direction for Max Wind Speed/Fastest Mile,Max Wind Speed/Fastest 2-Minute,Peak Wind Gust Speed (Fastest 5 Second Wind),Peak Wind Gust Speed,Maximum Wind Speed/Fastest Mile
USW00024216,1892,,,,,,,,1,,,,,,,,,,,51,,,,,,,,,,,,,,,,64,,,,,,,,,,,,
USW00024216,1893,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1894,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1895,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1897,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1898,,,,50,30,2,,,,,,,,,,,,,,38.1,,,,,,,,,,,,,325.4,,,,,,,,,,,,,,
USW00024216,1899,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1900,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1902,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1903,,,,60,45,6,,,,,,,,6,,,,,,72.1,,,,,,,,,,,,,573.1,,,,,,,,,,,,,,
USW00024216,1904,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1905,,,,62,38,6,,,,,,,,3,,,,,,43.7,,,,,,,,,,,,,588.3,,,,,,,,,,,,,,
USW00024216,1906,,,,92,66,11,,,,,,,,,,,,,,61,,,,,,,,,,,,,"1,024.30",,,,,,,,,,,,,,
USW00024216,1907,,,,84,55,2,,,,,,,,,,,,,,46.7,,,,,,,,,,,,,612.3,,,,,,,,,,,,,,
USW00024216,1908,,,,54,33,5,,,,,,,,,,,,,,53.3,,,,,,,,,,,,,453.3,,,,,,,,,,,,,,
USW00024216,1909,,,,87,60,13,,,,,,,,,,,,,,98.3,,,,,,,,,,,,,902.6,,,,,,,,,,,,,,
USW00024216,1910,,,,68,42,2,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,369.9,,,,,,,,,,,,,,
USW00024216,1911,,,,62,40,3,,,,,,,,,,,,,,54.4,,,,,,,,,,,,,566.7,,,,,,,,,,,,,,
USW00024216,1913,,,,66,44,6,,,,,,,,,,,,,,55.9,,,,,,,,,,,,,646.9,,,,,,,,,,,,,,
USW00024216,1914,,,,73,50,9,,,,,,,,,,,,,,58.2,,,,,,,,,,,,,706.8,,,,,,,,,,,,,,
USW00024216,1915,,,,78,53,14,,,,,,,,,,,,,,60.2,,,,,,,,,,,,,918.4,,,,,,,,,,,,,,
USW00024216,1916,,,,73,40,3,,,,,,,,,,,,,,54.4,,,,,,,,,,,,,509.9,,,,,,,,,,,,,,
USW00024216,1917,,,,44,27,2,,,,,,,,,,,,,,50.8,,,,,,,,,,,,,360.7,,,,,,,,,,,,,,
USW00024216,1919,,,,62,38,2,,,,,,,,,,,,,,33,,,,,,,,,,,,,395.6,,,,,,,,,,,,,,
USW00024216,1920,,,,64,46,4,,,,,,,,,,,,,,30.7,,,,,,,,,,,,,558.2,,,,,,,,,,,,,,
USW00024216,1921,,,,66,39,5,,,,,,,,,,,,,,48.8,,,,,,,,,,,,,567.9,,,,,,,,,,,,,,
USW00024216,1922,,,,68,43,5,,,,,,,,,,,,,,51.8,,,,,,,,,,,,,524.9,,,,,,,,,,,,,,
USW00024216,1923,,,,53,27,3,,,,,,,,,,,,,,32.5,,,,,,,,,,,,,343.7,,,,,,,,,,,,,,
USW00024216,1924,,,,49,38,4,,,,,,,,,,,,,,36.3,,,,,,,,,,,,,434.2,,,,,,,,,,,,,,
USW00024216,1925,,,,68,45,5,,,,,,,,,,,,,,74.7,,,,,,,,,,,,,563.3,,,,,,,,,,,,,,
USW00024216,1926,,,,68,46,10,,,,,,,,,,,,,,53.6,,,,,,,,,,,,,780.2,,,,,,,,,,,,,,
USW00024216,1927,,,,78,43,6,,,,,,,,,,,,,,84.6,,,,,,,,,,,,,648.3,,,,,,,,,,,,,,
USW00024216,1928,,,,57,35,7,,,,,,,,,,,,,,34.8,,,,,,,,,,,,,496.9,,,,,,,,,,,,,,
USW00024216,1929,,,,47,27,0,,,,,,,,5,,,,,,24.9,,,,,,,,,,,,,297.8,,,,,,,,,,,,,,
USW00024216,1930,,,,60,31,2,,,,,,,,2,,,,,,36.6,,,,,,,,,,,,,422.3,,,,,,,,,,,,,,
USW00024216,1931,,,,59,37,6,,,,,,,,2,,,,,,59.7,,,,,,,,,,,,,566.3,,,,,,,,,,,,,,
USW00024216,1932,,,,59,20,1,,,,,,,,1,,,,,,39.6,,,,,,,,,,,,,282.6,,,,,,,,,,,,,,
USW00024216,1933,,,,66,32,4,,,,,,,,10,,,,,,63.5,,,,,,,,,,,,,453.1,,,,,,,,,,,,,,
USW00024216,1934,,,,74,44,2,,,,,,,,8,,,,,,33,,,,,,,,,,,,,441,,,,,,,,,,,,,,
USW00024216,1935,,"1,006.10","1,006.10",63,39,8,0,0,0,30,0,209,114,,,,-4.4,0,0,47.2,45.6,-1.1,-2.2,,,,0,-3.3,-4.4,,,,673,,0,16.7,24.5,9,,,,,,,,,
USW00024216,1936,,,,55,43,5,0,0,0,25,,,,,,,-2.8,0,0,35.6,,0,-2.8,,,,-2.2,-2.2,,,"1,369.60","1,369.60",501,,0,,,9.8,,,,,,,,,
USW00024216,1937,,943.2,943.2,73,44,13,9,2,0,28,0,212,99,,,,-8.3,381,203,69.1,43.3,-1.7,-2.2,,,,-1.7,-2.2,-4.4,-7.2,,,828.3,,381,16.6,23.8,9.4,,,,,,,,,
USW00024216,1938,,"1,016.00","1,016.00",73,43,1,0,0,0,16,0,216,109,,,,-3.9,0,0,32.5,44.4,0,-3.9,,,,-1.7,-2.8,,,"1,312.10","1,312.10",573.9,,0,17.3,24.6,9.9,,,,,,,,,
USW00024216,1939,,"1,048.40","1,048.40",50,30,3,,,0,19,0,251,113,,,,-3.3,,,33.3,43.3,-1.7,,,,,-1.1,-3.3,,,"1,272.60","1,272.60",321.3,,,17.8,25.9,9.7,,,,,,,,,
USW00024216,1940,,,,86,59,11,0,0,0,13,,,,,,,-5.6,0,0,55.9,,-3.3,-3.3,-5.6,,,0,-2.2,,,"1,183.20","1,183.20",941.1,,0,,,10.4,,,,,,,,,
USW00024216,1941,,797.5,797.5,98,78,10,1,,0,12,0,226,74,,,,-2.2,51,,52.8,41.7,-0.6,-2.2,,,,-0.6,,,,,,"1,097.30",,,17,23.9,10.1,,,,,,,,,
USW00024216,1942,,899.6,899.6,72,56,6,0,0,0,29,0,211,103,,,,-5,0,0,57.7,46.1,0,-3.3,,,,0,-2.2,-5,,"1,527.80","1,527.80",688.4,,0,16.4,24.3,8.6,,,,,,,,,
USW00024216,1943,,904.5,904.5,63,40,6,,1,0,27,0,231,102,,,,-6.7,,178,63.5,43.3,-1.7,-2.2,,,,-1.1,-5,-5,-6.7,"1,402.10","1,402.10",580.5,,178,17.1,25.2,8.9,,,,,,,,,
USW00024216,1944,,955,955,74,48,5,,0,0,21,0,213,108,,,,-2.2,,0,41.7,44.4,-0.6,,,,,0,-2.2,,,"1,430.20","1,430.20",567.5,,0,16.9,24.9,8.8,,,,,,,,,
USW00024216,1945,,"1,012.60","1,012.60",,,,,0,0,25,0,201,115,,,,-5,,0,,45.6,-0.6,-3.3,-5,,,-1.1,-2.8,,,"1,483.80","1,483.80",,,0,17,24.6,9.4,,,,,,,,,
USW00024216,1946,,850.4,850.4,56,27,2,,0,0,28,0,205,96,,,,-3.9,,0,43.2,46.1,-1.1,-2.2,,,,-0.6,-2.2,,,"1,438.80","1,438.80",303.1,,0,16.5,24.2,8.9,,,,,,,,,
USW00024216,1947,,,,63,35,4,,0,,,,,,,,,,,0,45,,,,,,,,,,,"1,295.30","1,295.30",458.7,,0,,,,,,,,,,,,
USW00024216,1948,,858.2,858.2,91,51,7,1,1,0,44,0,181,76,32,,16,-5,25,112,36.8,43.3,0,-2.8,-5,,,-1.7,-2.2,-5,,,,639.8,,138,15.6,22.5,8.7,,,,,,,,,
USW00024216,1949,,"1,068.20","1,068.20",56,32,2,0,3,0,54,0,224,100,35,,14,-5,0,38,35.1,42.2,-0.6,-2.2,,,,0,-4.4,-4.4,,"1,674.60","1,674.60",356.2,,101,16.9,24,9.8,,,,,,,,,
USW00024216,1950,,"1,244.80","1,244.80",86,44,5,3,4,0,30,0,207,110,69,,7,-6.1,203,213,48.3,45.6,,,,,,0,-3.3,-5,,"1,592.30","1,592.30",597.9,,345,17.5,24.1,10.9,,,,,,,,,
USW00024216,1951,,"1,129.80","1,129.80",72,41,3,0,0,0,17,0,215,115,63,,13,-2.8,0,18,49.3,43.3,-0.6,-2.2,,,,0,-2.8,,,"1,420.60","1,420.60",539.2,,18,17.2,24,10.5,,,,,,,,,
USW00024216,1952,,"1,164.40","1,164.40",85,52,10,0,2,0,22,0,213,108,54,,12,-3.9,0,25,54.6,43.3,0,-2.8,,,,-0.6,-3.9,,,"1,639.10","1,639.10",687.4,,50,17.1,23.8,10.4,,,,,,,,,
USW00024216,1953,,924,924,71,39,2,0,0,0,8,0,200,86,43,,13,-1.1,0,0,41.9,42.8,-1.1,,,,,0,,,,"1,449.30","1,449.30",388.4,,0,17,23.8,10.2,,,,,,,,,
USW00024216,1954,,891.3,891.3,83,44,7,0,0,0,14,0,214,82,59,,9,-2.8,0,0,55.6,42.8,-1.1,-2.2,,,,-2.2,-2.2,,,"1,383.90","1,383.90",675.1,,0,16.6,23.4,9.9,,,,,,,,,
USW00024216,1955,,"1,008.70","1,008.70",64,37,3,1,2,0,27,0,203,96,45,,7,-3.9,51,84,52.6,43.9,0,,,,,0,-3.9,,,"1,712.30","1,712.30",472.5,,135,16.6,23.5,9.7,,,,,,,,,
USW00024216,1956,,983.1,983.1,54,36,3,0,0,0,27,0,215,94,28,,13,-3.9,0,0,41.7,44.4,-1.1,-2.2,,,,-1.7,-2.2,,,"1,504.30","1,504.30",418.8,,0,16.9,23.9,9.9,,,,,,,,,
USW00024216,1957,,965,965,86,47,5,0,0,0,31,0,186,93,51,,12,-3.9,0,0,59.4,42.8,0,,,,,-1.1,-3.3,,,"1,473.30","1,473.30",557.5,,0,16.6,23,10.2,,,,,,,,,
USW00024216,1958,,"1,165.60","1,165.60",80,49,6,0,0,0,9,0,228,102,47,,16,-2.2,0,0,54.4,42.2,0,-2.2,,,,-0.6,,,,"1,586.60","1,586.60",758.9,,0,17.9,24.7,11.2,,,,,,,,,
USW00024216,1959,,"1,152.60","1,152.60",45,25,3,0,0,0,18,0,255,99,27,,10,-3.9,0,5,76.7,44.4,0,,,,,-2.2,-2.2,,,"1,092.30","1,092.30",336.2,,5,18.3,25.7,10.9,,,,,,,,,
USW00024216,1960,,"1,202.90","1,202.90",70,47,6,0,0,0,19,0,204,106,66,,10,-5.6,0,10,85.6,45.6,0,,,,,-1.1,-2.2,-5.6,,"1,405.90","1,405.90",651.2,,10,17.5,24,10.9,,,,,,,,,
USW00024216,1961,,"1,130.00","1,130.00",68,38,2,0,0,0,16,0,203,98,69,,16,-3.3,0,0,74.4,45,-1.7,,,,,-0.6,-2.2,,,"1,496.10","1,496.10",481.9,,0,17.2,23.8,10.5,,,,,,,,,
USW00024216,1962,,994.1,994.1,55,36,7,0,1,0,24,1,228,96,57,,9,-6.1,0,38,48.3,42.8,-1.7,-2.2,,,,-0.6,-3.3,-4.4,,"1,536.40","1,536.40",536.6,,38,17.1,24.1,10.2,,,,,,,,,
USW00024216,1963,,895.1,895.1,75,46,7,0,0,0,27,0,187,78,80,,9,-4.4,0,0,33,40.6,-1.1,,,,,-1.1,-3.9,-4.4,,"1,509.20","1,509.20",571,,0,16.2,22.6,9.8,,,,,,,,,
USW00024216,1964,,974.7,974.7,62,35,4,0,0,0,17,0,211,95,54,,7,-2.8,0,0,47,43.9,-0.6,-2.8,,,,-0.6,-2.2,,,"1,626.70","1,626.70",434.5,,0,16.8,23.9,9.8,,,,,,,,,
USW00024216,1965,,877.8,877.8,65,29,5,0,1,0,16,0,207,75,65,29,9,-5.6,0,102,39.6,42.2,-0.6,-2.2,-5,,,-1.7,,,,"1,421.60","1,421.60",499.9,72.6,102,16.6,23.3,9.8,"200,622.00",,,,45,,,,22.4
USW00024216,1966,,"1,119.10","1,119.10",55,32,6,0,0,0,27,0,218,99,65,15,7,-4.4,0,0,65,43.3,-1.1,,,,,-1.1,-3.3,-4.4,,"1,550.80","1,550.80",509.3,75.9,0,17.6,24.6,10.6,"210,618.00",,,,135,,,,20.1
USW00024216,1967,,"1,125.20","1,125.20",74,40,3,0,0,0,24,0,199,108,64,23,12,-5.6,0,0,45,43.3,0,-2.2,-5.6,,,-0.6,,,,"1,557.30","1,557.30",485.8,72.6,0,17.1,24.1,10,"198,636.00",,,,135,,,,25
USW00024216,1968,,976.3,976.3,77,49,6,2,2,0,24,0,219,92,84,18,7,-6.7,127,127,35.1,43.3,-1.7,-4.4,-4.4,,,-4.4,-4.4,-4.4,-6.7,"1,264.90","1,264.90",612.5,73.1,206,17.1,24,10.2,"203,694.00",,,,135,,,,20.1
USW00024216,1969,,"1,134.40","1,134.40",74,43,9,0,0,0,22,0,214,104,69,14,6,-4.4,0,0,43.2,43.3,0,-2.8,,,,-0.6,-2.2,-4.4,,"1,639.70","1,639.70",684.2,72,0,17.2,24.2,10.2,"200,490.00",,,,135,,,,25.5
USW00024216,1970,,"1,135.30","1,135.30",83,53,8,0,0,0,13,0,201,117,55,9,5,-5.6,0,0,45.7,44.4,-0.6,-3.9,,,,-0.6,-3.9,-5.6,,"1,354.90","1,354.90",744.2,74.2,0,17.4,24.4,10.4,"208,278.00",,,,135,,,,25
USW00024216,1971,,"1,004.80","1,004.80",59,27,3,0,0,0,30,0,190,97,70,16,3,-2.8,0,0,34.3,47.8,0,,,,,-0.6,-2.8,,,"1,605.30","1,605.30",333.4,79.3,0,16.4,23.4,9.3,"217,134.00",,,,180,,,,21
USW00024216,1972,,"1,070.70","1,070.70",72,41,1,1,3,0,35,2,198,106,86,25,7,-6.7,76,229,43.9,48.3,-3.9,-3.9,-4.4,-6.7,,0,-3.9,,,"1,664.70","1,664.70",438.2,77.8,396,16.6,23.6,9.6,"215,586.00",,,135,135,,,21.6,18.8
USW00024216,1973,,"1,036.90","1,036.90",90,60,8,1,1,0,11,0,197,99,85,14,9,-5,51,122,52.1,43.9,,,,,,-2.2,-2.2,-5,,"1,745.40","1,745.40",805,74.2,122,16.8,23.3,10.4,"208,572.00",,,180,180,,,28.8,20.6
USW00024216,1974,,"1,088.40","1,088.40",71,38,5,0,1,0,13,0,195,113,58,17,9,-2.8,0,112,49.8,43.3,0,,,,,0,-2.8,,,"1,553.90","1,553.90",524.1,83.8,112,17,23.9,10,"229,386.00",,,135,135,,,25.7,22.4
USW00024216,1975,,"1,029.00","1,029.00",72,46,5,0,1,0,17,0,187,106,70,17,4,-6.7,0,86,30.2,45.6,-1.1,-2.8,,,,0,-3.9,-6.7,-6.7,"1,768.80","1,768.80",499.3,81.2,86,16.3,23.2,9.3,"222,246.00",,,,135,,,,18.8
USW00024216,1976,,"1,101.50","1,101.50",42,19,2,1,1,0,28,0,238,99,43,17,8,-4.4,76,203,30.7,43.9,-1.1,-2.8,,,,0,-2.2,-4.4,,"1,586.50","1,586.50",183.5,82.9,203,17.6,25.3,10,"225,018.00",,,360,135,,,22.1,16.5
USW00024216,1977,,"1,126.30","1,126.30",56,37,4,1,2,0,10,0,220,94,59,18,9,-3.3,51,25,56.4,45,-1.7,-3.3,,,,-1.1,-2.8,,,"1,217.70","1,217.70",490.1,80.8,50,17.9,24.9,10.9,"221,166.00",,,135,180,,,22.1,17.9
USW00024216,1978,,"1,194.00","1,194.00",73,49,9,0,0,0,12,0,217,98,69,17,19,-3.9,0,0,78.2,48.3,-1.7,-2.8,,,,,,,,"1,142.10","1,142.10",805.7,79.7,0,18.2,24.6,11.7,"219,060.00",,,180,180,,,24.7,18.8
USW00024216,1979,,"1,205.20","1,205.20",80,55,8,0,0,0,13,0,219,111,64,6,13,-2.8,0,0,51.3,44.4,-1.7,,,,,-1.7,-2.8,,,"1,364.70","1,364.70",742.7,79.6,0,17.9,24.7,11.2,"219,156.00",,,135,135,,,24.7,18.8
USW00024216,1980,,968.9,968.9,76,42,5,0,0,0,12,0,217,96,66,20,11,-3.9,0,0,43.7,44.4,0,-2.2,,,,-1.1,-3.9,,,"1,292.10","1,292.10",519.4,85,0,17.6,24.7,10.4,"231,900.00",,,135,135,,,24.2,19.2
USW00024216,1981,,"1,215.50","1,215.50",80,56,10,0,0,0,1,0,215,109,75,23,7,-0.6,0,0,46.7,49.4,,,,,,-0.6,,,,"1,185.00","1,185.00",787.4,78.4,0,18.3,25,11.6,"217,230.00",,,180,180,,,29.8,25
USW00024216,1982,,855.9,855.9,84,54,4,0,2,0,24,0,197,76,75,15,9,-3.9,0,66,31.8,42.8,0,-3.9,,,,-1.7,-2.8,,,"1,530.60","1,530.60",653.4,75.8,91,16.1,22.6,9.6,"208,104.00",,,135,,,,27.2,
USW00024216,1983,,922.3,922.3,123,80,13,0,1,0,5,0,187,81,95,21,22,-3.9,0,150,59.2,42.8,0,,,,,-3.9,-3.9,,,"1,503.70","1,503.70","1,244.80",72.8,150,16.9,22.7,11,"202,644.00",,,135,135,,,23.6,19.7
USW00024216,1984,3.9,"1,152.20","1,152.20",64,38,0,0,0,0,17,0,200,103,61,16,11,-2.2,0,0,23.4,45,0,-2.2,,,,-1.1,,,,"1,412.20","1,412.20",396.6,,0,17.2,23.9,10.5,"213,229.00",,,180,180,,,24.2,17.9
USW00024216,1985,3.7,"1,043.00","1,043.00",51,25,3,0,0,0,36,0,229,95,66,25,6,-4.4,0,0,44.2,43.3,-3.3,-3.3,-4.4,,,0,-2.8,,,"1,509.80","1,509.80",355.8,,0,17,24.2,9.9,"211,754.00",,,180,135,,,22.1,14.8
USW00024216,1986,,,,,,,,,,,,,,43,13,9,,,,,,,,,,,,,,,"1,405.60","1,405.60",,,,,,,,,,,,,,,
USW00024216,1988,,,,,,,,,,,,,,40,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1989,,"1,002.80","1,002.80",62,38,3,0,1,0,42,0,229,109,70,16,10,-6.1,0,51,86.6,43.9,-0.6,-2.2,,,,-0.6,-3.3,-4.4,,"1,454.50","1,454.50",538.8,,51,17.1,24.9,9.3,,,,,,,,,
USW00024216,1990,,"1,117.70","1,117.70",40,28,3,0,0,0,51,1,237,104,44,6,10,-10.6,0,0,30.7,47.8,-0.6,-2.2,-5.6,-10,-10,-0.6,-2.2,,,"1,333.10","1,333.10",346.2,,0,17.4,25.4,9.4,,,,,,,,,
USW00024216,1991,,,,59,38,4,,,0,27,,,,45,11,5,-6.1,,,44.7,,0,,,,,-1.1,-2.2,-6.1,,,,491.3,,,,,10.1,,,,,,,,,
USW00024216,1992,,"1,127.30","1,127.30",69,46,6,0,0,0,19,0,225,109,80,17,8,-4.4,0,3,52.3,43.3,0,-4.4,-4.4,,,0,-2.2,,,"1,280.90","1,280.90",669.2,,3,17.7,24.7,10.8,,,,,,,,,
USW00024216,1993,,,,,,,,,,,,,,66,10,14,,,,,,,,,,,,,,,"1,508.00","1,508.00",,,,,,,,,,,,,,,
USW00024216,1994,,951.1,951.1,68,46,6,0,0,0,27,0,221,102,50,9,8,-3.9,0,8,48.3,42.8,-1.1,-2.2,,,,-0.6,,,,,,587,,8,16.6,23.8,9.4,,,,,,,,,
USW00024216,1995,,,,92,60,13,,,0,10,,,,58,10,11,-0.6,,,90.2,,0,,,,,-0.6,,,,"1,617.30","1,617.30","1,070.60",,,,,10.4,,,,,,,,,
USW00024216,1996,,,,86,51,4,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,598.1,,,,,,,,,,,,,,
USW00024216,1997,,979.4,979.4,74,37,6,,,0,13,0,228,96,,,,-6.1,,,45,42.8,-0.6,-2.8,,,,-1.1,-6.1,-6.1,,"1,315.10","1,315.10",561.9,,,17.3,24.1,10.5,,,,,,,,,
USW00024216,1998,,839.4,839.4,116,74,9,,,0,19,0,178,68,,,,-6.1,,,72.1,44.4,-1.7,-2.2,-5.6,,,-1.1,,,,"1,612.30","1,612.30","1,135.90",,,15.9,21.9,9.9,,,,,,,,,
USW00024216,1999,3.7,901.3,901.3,59,33,2,,,0,41,0,209,94,2,2,9,-3.3,,,36.6,46.1,0,-2.8,,,,-1.1,-2.2,,,"1,756.50","1,756.50",356.8,,,16.4,23.6,9.1,,150,150,,,20.6,25,,
USW00024216,2000,3.5,942.3,942.3,82,50,3,,,0,22,0,200,97,20,21,9,-2.8,,,37.8,43.9,0,,,,,-1.1,-2.8,,,"1,398.00","1,398.00",609.5,,,16.7,23.5,9.8,,150,160,,,19.7,21,,
USW00024216,2001,3.6,"1,126.30","1,126.30",77,53,5,,,0,19,0,219,111,6,5,5,-2.2,,,41.7,42.8,-1.1,,,,,-1.1,-2.2,,,"1,594.60","1,594.60",698.6,,,17.4,24.4,10.5,,150,140,,,21,26.8,,
USW00024216,2002,3.6,"1,085.00","1,085.00",52,34,5,,,0,18,0,218,108,8,6,4,-3.9,,,53.8,45.6,0,,,,,-0.6,-2.2,,,"1,417.00","1,417.00",470.6,,,17.3,24.6,10.1,,150,150,,,23.2,27.3,,
USW00024216,2003,3.4,"1,125.90","1,125.90",83,57,3,,,0,13,0,186,111,15,16,9,-3.9,,,47,46.1,-0.6,-2.2,,,,0,-2.2,,,"1,493.80","1,493.80",669.9,,,17.1,23.9,10.4,,160,160,,,17.4,21,,
USW00024216,2004,3.6,"1,062.20","1,062.20",69,47,5,,,0,15,0,212,105,25,21,2,-2.2,,,72.4,41.7,-1.1,,,,,-0.6,-2.2,,,"1,387.00","1,387.00",627.1,,,17.4,24.4,10.4,,180,180,,,22.8,26.4,,
USW00024216,2005,3.4,915.6,915.6,79,50,6,,,0,13,0,214,85,22,17,1,-2.2,,,70.4,45,-0.6,-2.2,,,,-1.1,,,,"1,482.70","1,482.70",730.5,,,17,23.9,10,,180,190,,,18.3,26.4,,
USW00024216,2006,3.3,"1,114.50","1,114.50",89,52,4,,,0,26,0,207,109,102,9,15,-3.9,,,46,47.2,0,-3.9,,,,0,-2.2,,,"1,507.90","1,507.90",586.7,,,17,24,10.1,,170,160,,,17.4,21.9,,
USW00024216,2007,3.2,997.4,997.4,50,30,2,,,0,29,0,222,101,66,5,9,-6.7,,,33.3,43.9,-4.4,-4.4,-4.4,,,-1.1,-2.2,-5.6,-6.7,"1,404.50","1,404.50",312.1,,,17.2,24.8,9.7,,150,150,,,17.4,23.2,,
USW00024216,2008,3.4,"1,145.40","1,145.40",43,26,2,,,0,17,0,222,111,72,14,5,-3.9,,,54.4,45,0,-2.8,,,,0,,,,"1,493.90","1,493.90",366.2,,,17.5,24.9,10.1,,170,170,,,21,30,,
USW00024216,2009,3.4,"1,138.50","1,138.50",60,33,5,,,0,18,0,227,109,67,10,11,-7.2,,,51.8,44.4,0,-5,-5,-7.2,,-0.6,-2.2,,,"1,329.50","1,329.50",473.7,,,17.5,24.7,10.3,,160,170,,,17.9,23.7,,
USW00024216,2010,3.3,959.1,959.1,91,55,7,,,0,10,0,197,97,111,19,11,-2.8,,,37.3,43.9,-1.7,-2.8,,,,0,,,,"1,588.90","1,588.90",691.6,,,16.7,23.1,10.3,,160,160,,,18.3,24.6,,
USW00024216,2011,3.3,945.8,945.8,72,36,1,,,0,29,0,199,95,69,15,12,-4.4,,,26.7,43.3,0,-2.2,,,,-0.6,-4.4,-4.4,,"1,558.30","1,558.30",402.9,,,16.6,23.6,9.5,,150,330,,,21,28.6,,
USW00024216,2012,3.3,"1,101.50","1,101.50",61,43,5,,,0,23,0,211,118,47,2,8,-7.8,,,47,44.4,0,-2.2,,,,-1.1,-7.8,-7.8,-7.8,"1,461.10","1,461.10",649.4,,,17.5,24.8,10.1,,160,140,,,21.5,27.7,,
USW00024216,2013,3.4,"1,122.00","1,122.00",30,11,0,,,0,35,0,251,98,18,3,2,-5.5,,,21.3,46.7,-4.9,-4.9,-4.9,,,-1.1,-2.8,,,"1,274.30","1,274.30",137.5,,,18,25.8,10.1,,20,30,,,16.5,21.9,,
USW00024216,2014,3.4,"1,239.60","1,239.60",74,49,5,,,0,11,0,246,123,63,5,7,-2.1,,,73.2,44.4,-1,,,,,-2.1,,,,"1,105.00","1,105.00",685.1,,,18.8,26,11.6,,150,150,,,18.3,24.6,,
USW00024216,2015,3.2,"1,245.50","1,245.50",43,24,1,,,0,12,0,251,115,52,8,10,-3.2,,,33.3,45,0,-3.2,,,,-1.6,,,,966.6,966.6,245.7,,,18.7,26.2,11.3,,150,160,,,21,26.4,,
USW00024216,2016,3.4,"1,125.50","1,125.50",83,57,5,,,0,11,0,223,109,80,5,8,-3.2,,,39.4,43.3,-1,-2.7,,,,,,,,"1,215.30","1,215.30",734.5,,,18.1,24.8,11.4,,170,160,,,17.9,23.3,,
USW00024216,2017,3.6,"1,279.10","1,279.10",67,41,5,,,0,17,0,214,118,63,9,11,-3.2,,,59.4,45.6,-1,-2.7,,,,0,-3.2,,,"1,397.90","1,397.90",544.1,,,18.2,25.3,11.1,,160,150,,,20.1,25,,
USW00024216,2018,3.2,"1,136.90","1,136.90",60,39,5,,,0,13,0,234,109,61,8,7,-3.2,,,58.9,44.4,0,,,,,-0.5,-3.2,,,"1,265.60","1,265.60",500,,,18,25.5,10.6,,160,160,,,17.9,22.8,,
USW00024216,2019,,,,81,52,3,,,,,,,,76,7,13,,,,48.3,,,,,,,,,,,"1,286.20","1,286.20",697.6,,,,,,,,,,,,,,
USW00024216,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
