STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
USC00045983,1977,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",197.5,,197.5,0,92,0,57,0,5,0,44,,15,0,0,0,156,0,6,0,126,0,33,0,,,,,,,-15,"0,0106, ",356," ,0,1122, ",378," ,0,1121, ",55.1," ,0,1222, ",37.8,"0,0802, ",-1.1,"0,1001",-3.3,"0,1103",-5.6,"0,1109",-6.7,"0,1118",-11.1,"0,1119",-1.1,"0,0527",-2.2,"0,0518",-8.9,"0,0314",-8.9,"0,0314",-8.9,"0,0314",3256.5,5,3256.5,0,601.9," ,0",1644," ,0",9.51,0,16.8,0,2.22,0,,,,
USC00045983,1978,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",135.7,,135.7,0,105,0,65,0,17,0,19,,14,0,0,0,146,0,4,0,135,0,19,0,,,,,,,-13.3,"0,1220, ",152," ,0,0213, ",201," ,0,0415, ",102.1," ,0,0114, ",37.8,"0,0807, ",-1.1,"0,0919",-2.8,"0,1030",-6.7,"0,1109",-6.7,"0,1109",-9.4,"0,1110",0,"0,0611",-2.2,"0,0524",-5.6,"0,0421",-6.7,"0,0228",,,3293.1,1,3293.1,0,1364.7," ,0",1077," ,0",9.17,0,16.53,0,1.82,0,340,X,9.8,X
USC00045983,1979,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",124.3,,124.3,0,109,0,65,0,10,0,54,,19,0,1,0,158,0,1,0,143,0,20,0,,,,,,,-17.8,"0,0129, ",686," ,0,1225, ",526," ,0,1223, ",65.8," ,0,0212, ",37.8,"0,0719, ",-0.6,"0,1020",-4.4,"0,1021",-4.4,"0,1021",-8.9,"0,1120",-8.9,"0,1120",-0.6,"0,0529",-3.3,"0,0507",-6.7,"0,0419",-6.7,"0,0419",-10.6,"0,0203",3594.2,2,3594.2,0,1006.9," ,0",2840," ,0",9.45,0,16.97,0,1.94,0,320,X,9.4,X
USC00045983,1980,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",110.7,,110.7,0,92,0,52,0,9,0,16,,7,0,0,0,128,0,1,0,131,0,16,0,,,,,,,-13.9,"0,0130, ",381," ,0,0101, ",107," ,0,0404, ",71.9," ,0,0217, ",36.1,"0,0727, ",-0.6,"0,1016",-2.8,"0,1017",-4.4,"0,1111",-7.8,"0,1113",-8.9,"0,1201",-0.6,"0,0523",-2.8,"0,0411",-6.1,"0,0407",-6.7,"0,0312",-13.9,"0,0130",3282,0,3282,0,786.1," ,0",556," ,0",9.87,0,17.17,0,2.57,0,340,X,8.9,X
USC00045983,1981,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",209.7,,209.7,0,102,0,72,0,12,0,35,,14,0,0,0,120,0,0,0,131,0,34,0,,,,,,,-7.8,"0,1129, ",330," ,0,0226, ",406," ,0,0127, ",111," ,0,1116, ",40.6,"0,0807, ",0,"0,1004",-2.8,"0,1012",-4.4,"0,1118",-6.7,"0,1128",,,-1.1,"0,0516",-5,"0,0412",-5,"0,0412",-6.7,"0,0317",,,3002.9,9,3002.9,0,1211.4," ,0",1829," ,0",10.48,0,17.6,0,3.36,0,,,,
USC00045983,1982,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",99.7,,99.7,0,106,0,75,0,12,0,79,,30,0,0,0,157,0,11,0,119,0,10,0,,,,,,,-14.4,"0,0107, ",457," ,0,0121,+",320," ,0,1215, ",62.5," ,0,1216, ",36.1,"0,0822, ",0,"0,0915",-3.9,"0,1027",-4.4,"0,1102",-7.2,"0,1114",-9.4,"0,1224",-1.1,"0,0511",-3.9,"0,0420",-5.6,"0,0416",-6.7,"0,0408",-10,"0,0208",3394.1,1,3394.1,0,1144.8," ,0",3213," ,0",8.64,0,15.43,0,1.85,0,340,X,10.3,X
USC00045983,1983,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",100.1,,100.1,0,150,0,97,0,18,0,47,,26,0,0,0,116,0,1,0,123,0,15,0,,,,,,,-11.1,"0,1222, ",533," ,0,0324, ",409," ,0,0227, ",110.2," ,0,0126, ",36.1,"0,0806, ",-1.1,"0,1015",-3.3,"0,1107",-5.6,"0,1108",-10,"0,1221",-10,"0,1221",0,"0,0510",-2.2,"0,0424",-5.6,"0,0414",-6.7,"0,0204",-10,"0,0101",3451.3,3,3451.3,0,1802.6," ,0",3484," ,0",9.51,0,15.82,0,3.19,0,310,X,8,X
USC00045983,1984,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,,,,,,,,,,,,,,,,,,,,,3, ,,,4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3216.3,3,3216.3,0,,,,,,,,,,,,,,
USC00045983,1985,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,,,,,,,,,,,,,,,,,,,,,6, ,,,3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00045983,1986,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00045983,1988,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,90,0,58,0,4,0,,,21,0,0,0,155,0,,,,,,,,,,,9, ,-13.9,"0,0101, ",,,330," ,0,1222, ",50.8," ,0,1122,+",,,0,"0,0911",-2.2,"0,1108",-5.6,"0,1119",-6.7,"0,1129",-9.4,"0,1130",-0.6,"0,0610",-3.3,"0,0503",-4.4,"0,0408",-7.2,"0,0324",-8.9,"0,0312",,,,,671.7," ,0",1971," ,0",,,,,2.12,0,,,,
USC00045983,1989,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",37.1,,37.1,0,83,0,46,0,9,0,53,,10,0,3,0,147,0,6,0,149,0,1,0,4, ,,,10, ,-19.4,"0,0206, ",610," ,0,0113,+",241," ,0,0105, ",99.1," ,0,0309, ",32.8,"0,0707, ",-3.3,"0,1004",-3.3,"0,1004",-6.7,"0,1029",-6.7,"0,1029",-10,"0,1211",-1.7,"0,0526",-2.2,"0,0428",-5.6,"0,0326",-6.7,"0,0314",-9.4,"0,0214",3184.5,5,3184.5,0,843.7," ,0",1280," ,0",9.31,0,17.14,0,1.48,0,,,,
USC00045983,1990,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",134.7,,134.7,0,88,0,50,0,8,0,38,,16,0,3,0,148,0,10,0,141,0,21,0,,,,,31, ,-25,"0,1222, ",457," ,0,0217, ",292," ,0,0216, ",58.2," ,0,0527, ",36.7,"0,0806, ",-5,"0,1008",-5,"0,1008",-5,"0,1008",-7.2,"0,1102",-8.9,"0,1201",-2.2,"0,0601",-2.2,"0,0601",-10.6,"0,0313",-10.6,"0,0313",-10.6,"0,0313",3219.9,9,3219.9,0,742.6," ,0",1594," ,0",9.46,0,17.16,0,1.76,0,,,,
USC00045983,1991,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",131.7,,131.7,0,88,0,50,0,8,0,17,,18,0,0,0,134,0,0,0,142,0,19,0,,,,,17, ,-11.7,"0,0104, ",229," ,0,0324,+",241," ,0,0323, ",68.6," ,0,0303, ",36.1,"0,0703, ",-3.3,"0,1024",-3.3,"0,1024",-6.7,"0,1030",-6.7,"0,1030",,,-0.6,"0,0620",-2.2,"0,0426",-6.7,"0,0321",-6.7,"0,0321",-10,"0,0311",3320.4,4,3320.4,0,702.5," ,0",1804," ,0",10.21,0,18.06,0,2.37,0,,,,
USC00045983,1992,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",154.7,,154.7,0,93,0,67,0,15,0,37,,23,0,0,0,119,0,3,0,158,0,22,0,,,,,22, ,-12.2,"0,1205, ",1321," ,0,1231, ",686," ,0,1231, ",67.3," ,0,1231, ",35.6,"0,0811,+",-0.6,"0,1004",-2.2,"0,1015",-8.9,"0,1110",-8.9,"0,1110",-8.9,"0,1110",0,"0,0502",-4.4,"0,0423",-4.4,"0,0423",-6.7,"0,0203",-8.9,"0,0119",2699.3,3,2699.3,0,1192.7," ,0",3466," ,0",10.75,0,18.25,0,3.24,0,,,,
USC00045983,1993,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3267,0,3267,0,,,,,,,,,,,,,,
USC00045983,1994,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",126.4,,126.4,0,95,0,50,0,4,0,74,,24,0,0,0,144,0,2,0,130,0,17,0,1, ,,,20, ,-12.2,"0,1122, ",330," ,0,1216,+",241," ,0,1115, ",89.4," ,0,0124, ",36.1,"0,0721, ",0,"0,0913",-2.8,"0,1029",-4.4,"0,1103",-7.2,"0,1108",-8.9,"0,1114",0,"0,0608",-2.8,"0,0411",-5,"0,0407",-6.7,"0,0323",-9.4,"0,0212",,,,,645," ,0",2715," ,0",9.66,0,16.99,0,2.32,0,,,,
USC00045983,1995,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",80.5,,80.5,0,116,0,71,0,21,0,11,,9,0,0,0,115,0,0,0,133,0,6,0,,,,,13, ,-10.6,"0,0215, ",305," ,0,0323,+",323," ,0,0322, ",151.6," ,0,0109, ",33.3,"0,0804,+",-2.2,"0,1005",-2.2,"0,1005",-6.7,"0,1103",-6.7,"0,1103",-8.9,"0,1223",-1.1,"0,0619",-4.4,"0,0512",-4.4,"0,0512",-6.7,"0,0327",-10,"0,0306",3250.7,7,3250.7,0,1780.5," ,0",887," ,0",10.26,0,17.41,0,3.11,0,,,,
USC00045983,1996,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,119,0,83,0,17,0,40,,22,0,0,0,139,0,,,,,,,2, ,,,12, ,-11.7,"0,0224, ",711," ,0,0127, ",457," ,0,0228, ",105.4," ,0,1209, ",,,0,"0,0906",-2.8,"0,1014",-6.1,"0,1021",-7.2,"0,1116",-8.9,"0,1202",-1.7,"0,0520",-2.8,"0,0428",-4.4,"0,0420",-7.8,"0,0329",-11.7,"0,0224",,,,,1540.5," ,0",2925," ,0",,,,,2.9,0,,,,
USC00045983,1997,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,103,0,66,0,8,0,23,,9,0,0,0,123,0,,,,,,,,,,,12, ,-16.7,"0,0113, ",178," ,0,1221,+",224," ,0,1214, ",94.2," ,0,0101, ",,,0,"0,1010",-5.6,"0,1025",-5.6,"0,1025",-6.7,"0,1202",-8.9,"0,1223",-0.6,"0,0504",-3.9,"0,0411",-4.4,"0,0407",-6.7,"0,0405",-8.9,"0,0304",,,,,876," ,0",960," ,0",,,,,2.81,0,,,,
USC00045983,1998,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,158,0,117,0,24,0,60,,29,0,1,0,127,0,,,,,,,,,,,20, ,-21.1,"0,1221, ",762," ,0,0221, ",584," ,0,0221, ",79," ,0,1130, ",,,-0.6,"0,1005",-2.8,"0,1017",-4.4,"0,1030",-6.7,"0,1119",-11.7,"0,1205",-0.6,"0,0527",-3.9,"0,0417",-5.6,"0,0416",-7.8,"0,0307",-9.4,"0,0105",,,,,1909.7," ,0",2770," ,0",,,,,2.83,0,,,,
USC00045983,1999,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,92,0,59,0,10,0,49,,25,0,0,0,141,0,,,,,,,2, ,,,9, ,-11.1,"0,0211, ",457," ,0,0206, ",470," ,0,0206, ",68.1," ,0,1130, ",,,-1.1,"0,0928",-2.8,"0,1017",-7.8,"0,1122",-7.8,"0,1122",,,-3.9,"0,0516",-3.9,"0,0516",-5,"0,0504",-8.9,"0,0331",-8.9,"0,0331",,,,,891.8," ,0",2720," ,0",,,,,2.2,0,,,,
USC00045983,2000,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,108,0,69,0,17,0,24,,15,0,0,0,130,0,,,,,,,1, ,,,7, ,-9.4,"0,1117,+",127," ,0,1114,+",152," ,0,0113, ",68.3," ,0,0227, ",,,-1.7,"0,0923",-3.3,"0,1023",-7.8,"0,1110",-7.8,"0,1110",-9.4,"0,1111",-3.3,"0,0512",-3.3,"0,0512",-4.4,"0,0429",-6.7,"0,0224",-8.9,"0,0128",,,,,1188.9," ,0",1295," ,0",,,,,2.91,0,,,,
USC00045983,2001,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,104,0,68,0,16,0,90,,32,0,0,0,134,0,,,,,,,2, ,,,5, ,-11.1,"0,0214,+",762," ,0,1217, ",381," ,0,0209, ",59.9," ,0,1112, ",,,0,"0,1009",-2.2,"0,1103",-5.6,"0,1107",-10.6,"0,1127",-10.6,"0,1127",-1.1,"0,0604",-2.2,"0,0503",-5,"0,0414",-7.2,"0,0408",-11.1,"0,0214",,,,,1165.8," ,0",4481," ,0",,,,,3.1,0,,,,
USC00045983,2002,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,89,0,54,0,14,0,40,,16,0,0,0,135,0,,,,,,,1, ,,,10, ,-15,"0,0127, ",914," ,0,1220, ",584," ,0,1220, ",124.5," ,0,1214, ",,,0,"0,0907",-2.8,"0,1012",-6.7,"0,1030",-6.7,"0,1030",-9.4,"0,1031",-0.6,"0,0523",-2.2,"0,0511",-4.4,"0,0326",-10.6,"0,0318",-10.6,"0,0318",,,,,1192.7," ,0",2531," ,0",,,,,2.52,0,,,,
USC00045983,2003,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,105,0,66,0,14,0,27,,11,0,0,0,114,0,,,,,,,3, ,,,8, ,-11.1,"0,1227, ",635," ,0,0101, ",559," ,0,1229, ",73.7," ,0,1108, ",,,-1.1,"0,1011",-3.3,"0,1013",-9.4,"0,1101",-9.4,"0,1101",-9.4,"0,1101",-2.8,"0,0519",-2.8,"0,0519",-5,"0,0415",-6.7,"0,0403",-8.9,"0,0226",,,,,1096.6," ,0",1597," ,0",,,,,3.63,0,,,,
USC00045983,2004,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",131.8,,131.8,0,90,0,54,0,11,0,58,,20,0,0,0,135,0,1,0,143,0,14,0,2, ,,,7, ,-12.8,"0,0103, ",660," ,0,1231,+",457," ,0,1206, ",116.8," ,0,0217, ",35.6,"0,0723, ",-1.1,"0,0921",-3.3,"0,1025",-4.4,"0,1101",-9.4,"0,1129",-9.4,"0,1129",0,"0,0513",-3.3,"0,0402",-4.4,"0,0220",-7.2,"0,0210",-10.6,"0,0105",,,,,1165.9," ,0",2722," ,0",10.09,0,17.18,0,3.01,0,,,,
USC00045983,2005,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",176.6,,176.6,0,111,0,76,0,20,0,52,,14,0,0,0,134,0,5,0,137,0,28,0,,,,,6, ,-10.6,"0,0113, ",864," ,0,0108, ",203," ,0,0108, ",70.9," ,0,1230, ",36.7,"0,0718, ",-1.7,"0,0925",-2.2,"0,1002",-5,"0,1119",-8.9,"0,1130",-8.9,"0,1130",0,"0,0521",-3.3,"0,0415",-4.4,"0,0414",-10.6,"0,0113",-10.6,"0,0113",3197.2,2,3197.2,0,1358.5," ,0",1469," ,0",10.02,0,17.4,0,2.63,0,,,,
USC00045983,2006,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",207,,207,0,114,0,83,0,11,0,77,,29,0,0,0,146,0,2,0,151,0,33,0,1, ,,,6, ,-13.3,"0,0219, ",737," ,0,0305, ",559," ,0,0305, ",86.4," ,0,0227, ",38.3,"0,0723, ",-0.6,"0,0916",-2.8,"0,1018",-5.6,"0,1030",-11.7,"0,1129",-11.7,"0,1129",0,"0,0529",-2.8,"0,0419",-5,"0,0418",-7.8,"0,0313",-11.7,"0,0311",3215,0,3215,0,1284.7," ,0",3351," ,0",9.87,0,17.24,0,2.49,0,,,,
USC00045983,2007,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",174.8,,174.8,0,84,0,49,0,8,0,45,,19,0,0,0,149,0,5,0,157,0,29,0,,,,,5, ,-12.8,"0,0115,+",305," ,0,0228,+",203," ,0,1202, ",71.1," ,0,0221, ",38.9,"0,0705, ",-2.2,"0,0924",-2.2,"0,0924",-7.2,"0,1121",-7.2,"0,1121",-11.1,"0,1201",0,"0,0504",-3.9,"0,0503",-6.1,"0,0420",-10.6,"0,0228",-10.6,"0,0228",2971.8,8,2971.8,0,703.9," ,0",1427," ,0",10.12,0,18.06,0,2.17,0,,,,
USC00045983,2008,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",225.3,,225.3,0,78,0,47,0,7,0,83,,26,0,0,0,157,0,12,0,157,0,35,0,,,,,2, ,-16.1,"0,1217, ",1016," ,0,0203, ",356," ,0,0131, ",83.1," ,0,0104, ",38.3,"0,0815,+",-0.6,"0,1010",-2.8,"0,1022",-4.4,"0,1121",-7.2,"0,1209",-15,"0,1216",-2.2,"0,0501",-2.2,"0,0501",-9.4,"0,0420",-9.4,"0,0420",-9.4,"0,0420",3275.2,2,3275.2,0,708," ,0",3017," ,0",10.14,0,18.08,0,2.2,0,,,,
USC00045983,2009,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",247,,247,0,97,0,58,0,11,0,38,,19,0,0,0,143,0,7,0,144,0,46,0,,,,,8, ,-16.1,"0,1208, ",864," ,0,0215, ",406," ,0,0215, ",96.5," ,0,1013, ",37.8,"0,0728, ",-0.6,"0,1001",-2.8,"0,1006",-4.4,"0,1113",-7.2,"0,1203",-11.7,"0,1206",-0.6,"0,0513",-2.8,"0,0429",-6.1,"0,0416",-8.3,"0,0404",-9.4,"0,0305",2988.2,2,2988.2,0,1011.4," ,0",2308," ,0",10.53,0,18.34,0,2.72,0,,,,
USC00045983,2011,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",133.6,,133.6,7,104,7,59,7,14,7,,,,,0,7,137,7,2,7,133,7,15,7,,,,,,,-13.3,"7,0226, ",,,,,90.2," ,7,0215, ",34.4,"7,0729,+",0,"71,005",-5,"71,026",-5,"71,026",-7.2,"71,108",-8.9,"71,119",-1.1,"70,603",-3.3,"70,501",-5.6,"70,403",-9.4,"70,227",-9.4,"70,227",,,,,932.7," ,7",,,9.93,7,17.35,7,2.52,7,,,,
USC00045983,2012,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",178.7,,178.7,7,98,7,71,7,19,7,,,,,0,7,130,7,2,7,157,7,27,7,,,,,,,-12.8,"7,1231,+",,,,,94," ,7,1202, ",37.2,"7,0813, ",0,"71,017",-2.2,"71,026",-6.1,"71,109",-7.8,"71,111",-10,"71,215",0,"70,626",-2.8,"70,427",-7.2,"70,406",-7.2,"70,406",-8.9,"70,302",3031.3,3,3031.3,7,1320.4," ,7",,,10.63,7,18.58,7,2.67,7,,,,
USC00045983,2013,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",204.8,,204.8,7,63,7,27,7,2,7,77,,9,7,1,7,134,7,1,7,147,7,19,7,,,,,,,-19.4,"7,1208, ",584," ,7,0102,+",203," ,7,0306, ",43.4," ,7,0306, ",36.1,"7,0721, ",-1.1,"70,927",-3.9,"71,117",-5,"71,125",-9.4,"71,204",-9.4,"71,204",-1.1,"70,522",-2.8,"70,423",-6.7,"70,323",-6.7,"70,323",-9.4,"70,121",2812.5,5,2812.5,7,316.6," ,7",815," ,7",11.18,7,19.5,7,2.86,7,,,,
