STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00012841,1893,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012841,1894,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1768.8,,1768.8,6,128,6,77,6,12,6,,,,,0,6,3,6,0,6,341,6,87,6,2, ,,,99, ,-7.8,"6,1228, ",,,,,66.8," ,6,1013, ",36.1,"6,0818,+",-7.8,"61,228",-7.8,"61,228",-7.8,"61,228",-7.8,"61,228",,,,,,,,,,,,,1167.1," ,6",,,22.51,6,28.26,6,16.77,6,,,,,,,,,,,,,,,,
USW00012841,1895,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1787.2,,1787.2,6,122,6,82,6,11,6,,,,,0,6,4,6,0,6,316,6,118,6,,,,,59, ,-7.2,"6,0207, ",,,,,65," ,6,1015, ",36.1,"6,0823,+",,,,,,,,,-0.6,"60,213",-5.6,"60,208",-5.6,"60,208",-7.2,"60,207",396.1,1,396.1,6,1074.3," ,6",,,21.97,6,27.85,6,16.08,6,,,,,,,,,,,,,,,,
USW00012841,1896,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1637.5,,1637.5,6,117,6,84,6,11,6,,,,,0,6,0,6,0,6,310,6,80,6,,,,,57, ,0.6,"6,0217,+",,,,,79.5," ,6,0701, ",36.1,"6,0804, ",,,,,,,,,,,,,,,,,419.1,1,419.1,6,1261.1," ,6",,,21.69,6,26.91,6,16.48,6,,,,,,,,,,,,,,,,
USW00012841,1897,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,122,6,79,6,13,6,,,,,,,,,,,,,,,,,,,70, ,,,,,,,178.1," ,6,0920, ",,,,,,,,,,,,,,,,,,,,,,,1362.4," ,6",,,,,,,,,,,,,,,,,,,,,,,,
USW00012841,1898,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,116,6,62,6,6,6,,,,,0,6,5,6,0,6,307,6,89,6,,,,,58, ,-5,"6,0102,+",,,,,78.2," ,6,0720, ",36.7,"6,0718, ",-2.2,"61,211",-2.2,"61,211",,,,,-1.1,"60,201",-5,"60,102",-5,"60,102",,,402.6,6,402.6,6,937.5," ,6",,,22.08,6,27.4,6,16.77,6,,,,,,,,,,,,,,,,
USW00012841,1899,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1818.8,,1818.8,6,127,6,72,6,18,6,,,,,0,6,3,6,0,6,316,6,86,6,,,,,65, ,-6.7,"6,0214, ",,,,,124.7," ,6,1004, ",36.1,"6,0809,+",,,,,,,,,-6.7,"60,214",-6.7,"60,214",-6.7,"60,214",-6.7,"60,214",,,,,1392.3," ,6",,,22.45,6,27.3,6,17.6,6,,,,,,,,,,,,,,,,
USW00012841,1900,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1743.4,,1743.4,6,141,6,92,6,20,6,,,,,0,6,4,6,0,6,298,6,56,6,2, ,,,73, ,-3.3,"6,0218, ",,,,,115.8," ,6,0715, ",37.2,"6,0821, ",,,,,,,,,-1.1,"60,219",-3.3,"60,218",,,,,369.6,6,369.6,6,1622.1," ,6",,,21.91,6,26.34,6,17.48,6,,,,,,,,,,,,,,,,
USW00012841,1901,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1563.2,,1563.2,6,132,6,84,6,13,6,,,,,0,6,5,6,0,6,293,6,61,6,1, ,,,65, ,-3.9,"6,1221, ",,,,,114," ,6,0927, ",33.9,"6,0713,+",0,"61,218",-3.9,"61,221",,,,,0,"60,225",,,,,,,415.1,1,415.1,6,1456.5," ,6",,,21.12,6,26.1,6,16.15,6,,,,,,,,,,,,,,,,
USW00012841,1902,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1872.1,,1872.1,6,100,6,71,6,14,6,,,,,0,6,3,6,0,6,305,6,83,6,3, ,,,53, ,-3.9,"6,1227, ",,,,,87.4," ,6,0614, ",37.2,"6,0822, ",-3.9,"61,227",-3.9,"61,227",,,,,-3.3,"60,114",-3.3,"60,114",,,,,560.3,3,560.3,6,1202," ,6",,,22.24,6,27.11,6,17.38,6,,,,,,,,,,,,,,,,
USW00012841,1903,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,,,,,,,,,,,,,,,0,6,312,6,111,6,2, ,,,2, ,,,,,,,,,37.2,"6,0830,+",,,,,,,,,,,,,,,,,254,0,254,6,,,,,,,28.24,6,,,,,,,,,,,,,,,,,,
USW00012841,1905,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1685.1,,1685.1,6,143,6,120,6,21,6,,,,,0,6,5,6,0,6,326,6,96,6,11, ,,,9, ,-6.1,"6,0126, ",,,,,85.3," ,6,0617, ",37.2,"6,0730, ",,,,,,,,,-1.1,"60,129",-4.4,"60,128",-4.4,"60,128",,,,,,,1899.6," ,6",,,21.93,6,27.73,6,16.13,6,,,,,,,,,,,,,,,,
USW00012841,1906,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1794.7,,1794.7,6,86,6,77,6,9,6,,,,,0,6,5,6,0,6,326,6,124,6,7, ,,,7, ,-3.9,"6,1225, ",,,,,69.9," ,6,0522, ",36.7,"6,0628,+",0,"61,223",-3.3,"61,224",,,,,,,,,,,,,353.8,8,353.8,6,1141.5," ,6",,,22.18,6,27.99,6,16.38,6,,,,,,,,,,,,,,,,
USW00012841,1907,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1893.5,,1893.5,6,76,6,66,6,15,6,,,,,0,6,0,6,0,6,344,6,140,6,31, ,,,21, ,0.6,"6,1205, ",,,,,81.3," ,6,0601, ",37.8,"6,0613,+",,,,,,,,,,,,,,,,,259.1,1,259.1,6,1119.1," ,6",,,22.86,6,29.49,6,16.24,6,,,,,,,,,,,,,,,,
USW00012841,1908,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1881,,1881,6,95,6,89,6,16,6,,,,,0,6,2,6,0,6,335,6,126,6,15, ,,,6, ,-0.6,"6,0115, ",,,,,85.1," ,6,0925, ",37.8,"6,0717,+",,,,,,,,,0,"60,203",,,,,,,329.7,7,329.7,6,1260.9," ,6",,,22.7,6,28.89,6,16.5,6,,,,,,,,,,,,,,,,
USW00012841,1909,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1694.7,,1694.7,6,90,6,70,6,9,6,,,,,0,6,7,6,0,6,344,6,75,6,18, ,,,42, ,-6.1,"6,1231, ",,,,,104.1," ,6,0703, ",35.6,"6,0618, ",-2.8,"61,227",-2.8,"61,227",-6.1,"61,231",,,0,"60,204",-2.2,"60,201",,,,,199.7,7,199.7,6,981.5," ,6",,,22.16,6,28.1,6,16.22,6,,,,,,,,,,,,,,,,
USW00012841,1910,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1566.1,,1566.1,6,113,6,90,6,17,6,,,,,0,6,9,6,0,6,328,6,67,6,15, ,,,49, ,-2.8,"6,0101, ",,,,,203.7," ,6,1018, ",35.6,"6,0707,+",-1.1,"61,202",,,,,,,0,"60,206",-2.2,"60,123",,,,,380.4,4,380.4,6,1500.1," ,6",,,21.35,6,27.55,6,15.16,6,,,,,,,,,,,,,,,,
USW00012841,1911,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1944.7,,1944.7,6,97,6,73,6,8,6,,,,,0,6,3,6,0,6,343,6,97,6,16, ,,,57, ,-1.7,"6,0224, ",,,,,69.9," ,6,1128, ",36.1,"6,0913,+",,,,,,,,,-1.1,"60,225",,,,,,,330.5,5,330.5,6,991.2," ,6",,,23.24,6,29.01,6,17.48,6,,,,,,,,,,,,,,,,
USW00012841,1912,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1915.5,,1915.5,6,118,6,104,6,19,6,,,,,0,6,7,6,0,6,328,6,89,6,,,,,34, ,-2.2,"6,0209, ",,,,,66," ,6,0920, ",36.7,"6,0618, ",,,,,,,,,-0.6,"60,223",-2.2,"60,209",,,,,335.5,5,335.5,6,1687.9," ,6",,,22.61,6,27.83,6,17.4,6,,,,,,,,,,,,,,,,
USW00012841,1913,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1689.6,,1689.6,6,104,6,83,6,11,6,,,,,0,6,0,6,0,6,343,6,79,6,16, ,,,42, ,1.7,"6,1112,+",,,,,88.1," ,6,0919, ",35.6,"6,0718, ",,,,,,,,,,,,,,,,,178.6,6,178.6,6,1178.3," ,6",,,22.39,6,28.04,6,16.73,6,,,,,,,,,,,,,,,,
USW00012841,1914,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1763.7,,1763.7,6,124,6,82,6,16,6,,,,,0,6,1,6,0,6,319,6,111,6,1, ,,,53, ,-1.1,"6,1121, ",,,,,88.1," ,6,0124, ",37.8,"6,0727,+",-1.1,"61,121",,,,,,,,,,,,,,,371,0,371,6,1293.7," ,6",,,22.07,6,27.97,6,16.17,6,,,,,,,,,,,,,,,,
USW00012841,1915,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,143,6,99,6,15,6,,,,,,,,,0,6,297,6,121,6,,,,,60, ,,,,,,,183.4," ,6,1014, ",37.2,"6,0824,+",,,,,,,,,,,,,,,,,,,,,1579.6," ,6",,,,,27.56,6,,,,,,,,,,,,,,,,,,
USW00012841,1916,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1916.2,,1916.2,6,128,6,77,6,16,6,,,,,0,6,2,6,0,6,341,6,121,6,1, ,,,29, ,-0.6,"6,1217, ",,,,,71.9," ,6,1115, ",38.3,"6,0818, ",-0.6,"61,217",,,,,,,0,"60,317",,,,,,,332.5,5,332.5,6,1232.5," ,6",,,22.79,6,29.06,6,16.52,6,,,,,,,,,,,,,,,,
USW00012841,1917,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1776.1,,1776.1,6,94,6,70,6,13,6,,,,,0,6,8,6,0,6,337,6,126,6,1, ,,,5, ,-5.6,"6,0204, ",,,,,74.2," ,6,0508, ",37.2,"6,0905, ",-1.7,"61,125",-2.2,"61,210",,,,,-0.6,"60,207",-2.2,"60,206",-5.6,"60,204",,,260.9,9,260.9,6,1214.8," ,6",,,22.3,6,29.17,6,15.43,6,,,,,,,,,,,,,,,,
USW00012841,1918,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1891.4,,1891.4,6,139,6,89,6,17,6,,,,,0,6,7,6,0,6,335,6,128,6,1, ,,,11, ,-3.3,"6,0105,+",,,,,70.1," ,6,0729, ",38.3,"6,0816, ",,,,,,,,,-0.6,"60,124",-3.3,"60,105",,,,,383.5,5,383.5,6,1430.7," ,6",,,22.58,6,29.15,6,16.01,6,,,,,,,,,,,,,,,,
USW00012841,1919,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1912.6,,1912.6,6,143,6,97,6,15,6,,,,,0,6,1,6,0,6,337,6,152,6,6, ,,,17, ,-2.2,"6,0106, ",,,,,68.3," ,6,0517, ",36.7,"6,1008,+",,,,,,,,,-2.2,"60,106",-2.2,"60,106",,,,,317.7,7,317.7,6,1454.2," ,6",,,22.76,6,29.47,6,16.05,6,,,,,,,,,,,,,,,,
USW00012841,1920,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1745.3,,1745.3,6,121,6,86,6,18,6,,,,,0,6,6,6,0,6,336,6,130,6,9, ,,,5, ,-2.2,"6,0302, ",,,,,88.9," ,6,0916, ",37.2,"6,0915, ",,,,,,,,,-1.7,"60,307",-2.2,"60,302",,,,,365,0,365,6,1527.8," ,6",,,21.97,6,28.81,6,15.12,6,,,,,,,,,,,,,,,,
USW00012841,1921,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1977.8,,1977.8,6,115,6,67,6,16,6,,,,,0,6,0,6,0,6,355,6,147,6,1, ,,,22, ,1.1,"6,0116, ",,,,,113," ,6,1026, ",39.4,"6,0908, ",,,,,,,,,,,,,,,,,246,0,246,6,1210.2," ,6",,,23.25,6,30.32,6,16.19,6,,,,,,,,,,,,,,,,
USW00012841,1922,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,2106.7,,2106.7,6,124,6,90,6,15,6,,,,,0,6,2,6,0,6,343,6,151,6,,,,,1, ,-1.1,"6,0115,+",,,,,61.7," ,6,0806, ",38.3,"6,0801, ",,,,,,,,,-1.1,"60,115",,,,,,,206,0,206,6,1303.4," ,6",,,23.46,6,29.95,6,16.97,6,,,,,,,,,,,,,,,,
USW00012841,1923,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1900.4,,1900.4,6,132,6,92,6,14,6,,,,,0,6,1,6,0,6,352,6,132,6,,,,,,,0,"6,0219, ",,,,,74.4," ,6,0617, ",37.2,"6,0424, ",,,,,,,,,0,"60,219",,,,,,,225.1,1,225.1,6,1313.5," ,6",,,22.85,6,29.55,6,16.14,6,,,,,,,,,,,,,,,,
USW00012841,1924,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1856,,1856,6,138,6,96,6,21,6,,,,,0,6,2,6,0,6,326,6,126,6,1, ,,,,,-0.6,"6,0209, ",,,,,89.9," ,6,0227, ",37.2,"6,0623,+",0,"61,130",,,,,,,-0.6,"60,209",,,,,,,357.7,7,357.7,6,1686.3," ,6",,,22.43,6,28.74,6,16.13,6,,,,,,,,,,,,,,,,
USW00012841,1925,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1818.8,,1818.8,6,130,6,88,6,11,6,,,,,0,6,2,6,0,6,328,6,130,6,1, ,,,3, ,0,"6,1229,+",,,,,108," ,6,1201, ",37.2,"6,0821, ",0,"61,229",,,,,,,0,"60,213",,,,,,,205.8,8,205.8,6,1316.9," ,6",,,22.43,6,28.62,6,16.24,6,,,,,,,,,,,,,,,,
USW00012841,1926,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1663.9,,1663.9,6,141,6,85,6,16,6,,,,,0,6,6,6,0,6,320,6,124,6,,,,,1, ,-1.7,"6,1231,+",,,,,77.7," ,6,0330, ",35.6,"6,1005,+",-1.7,"61,231",,,,,,,0,"60,314",,,,,,,516.5,5,516.5,6,1397.1," ,6",,,21.69,6,28.1,6,15.28,6,,,,,,,,,,,,,,,,
USW00012841,1927,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1941.8,,1941.8,6,115,6,62,6,8,6,,,,,0,6,6,6,0,6,338,6,128,6,1, ,,,,,-3.9,"6,0116,+",,,,,54.9," ,6,0727, ",38.3,"6,0606, ",0,"61,220",,,,,,,-3.9,"60,116",-3.9,"60,116",,,,,280.6,6,280.6,6,860.2," ,6",,,22.79,6,29.07,6,16.51,6,,,,,,,,,,,,,,,,
USW00012841,1928,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1826.5,,1826.5,6,117,6,77,6,16,6,,,,,0,6,5,6,0,6,330,6,115,6,,,,,,,-4.4,"6,0103, ",,,,,124," ,6,0809, ",36.7,"6,0730, ",-1.1,"61,210",,,,,,,-0.6,"60,219",-2.2,"60,104",-4.4,"60,103",,,373.7,7,373.7,6,1432.1," ,6",,,22.22,6,28.32,6,16.11,6,,,,,,,,,,,,,,,,
USW00012841,1929,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,2028,,2028,6,135,6,88,6,20,6,,,,,0,6,4,6,0,6,341,6,141,6,,,,,,,-1.1,"6,1225,+",,,,,78.7," ,6,0506, ",37.2,"6,0817, ",0,"61,220",,,,,,,,,,,,,,,279.6,6,279.6,6,1459.3," ,6",,,23.18,6,29.5,6,16.85,6,,,,,,,,,,,,,,,,
USW00012841,1930,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1532,,1532,6,140,6,95,6,15,6,,,,,0,6,2,6,0,6,317,6,68,6,,,,,,,-2.2,"6,1224, ",,,,,113.8," ,6,0329, ",36.1,"6,0518, ",-0.6,"61,128",-2.2,"61,224",,,,,,,,,,,,,302.7,7,302.7,6,1557.3," ,6",,,21.4,6,27.19,6,15.61,6,,,,,,,,,,,,,,,,
USW00012841,1931,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1586.6,,1586.6,6,126,6,83,6,8,6,,,,,0,6,2,6,0,6,327,6,85,6,8, ,,,,,-1.1,"6,0115, ",,,,,57.9," ,6,0720, ",36.7,"6,0808,+",,,,,,,,,-0.6,"60,122",,,,,,,595.1,1,595.1,6,1070.7," ,6",,,21.61,6,27.75,6,15.48,6,,,,,,,,,,,,,,,,
USW00012841,1932,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1760.1,,1760.1,6,117,6,73,6,9,6,,,,,0,6,4,6,0,6,341,6,92,6,13, ,,,,,-2.8,"6,0314, ",,,,,112.8," ,6,0529, ",37.8,"6,0716, ",0,"61,201",,,,,,,-1.1,"60,316",-2.8,"60,314",,,,,162.8,8,162.8,6,1014.1," ,6",,,22.41,6,28.77,6,16.05,6,,,,,,,,,,,,,,,,
USW00012841,1933,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1759.3,,1759.3,6,119,6,79,6,16,6,,,,,0,6,0,6,0,6,345,6,118,6,1, ,,,,,1.1,"6,0304, ",,,,,196.1," ,6,0905, ",36.7,"6,0918,+",,,,,,,,,,,,,,,,,259.6,6,259.6,6,1458.6," ,6",,,22.48,6,29,6,15.97,6,,,,,,,,,,,,,,,,
USW00012841,1934,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1731.5,,1731.5,6,112,6,76,6,15,6,,,,,0,6,5,6,0,6,339,6,122,6,,,,,,,-5.6,"6,1212, ",,,,,72.6," ,6,0615, ",36.7,"6,0824,+",-1.7,"61,209",-5.6,"61,212",-5.6,"61,212",,,0,"60,130",,,,,,,315.2,2,315.2,6,1276.7," ,6",,,22.06,6,28.73,6,15.38,6,,,,,,,,,,,,,,,,
USW00012841,1935,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1790.4,,1790.4,6,120,6,77,6,13,6,,,,,0,6,12,6,0,6,317,6,130,6,,,,,,,-4.4,"6,1227, ",,,,,91.7," ,6,0922, ",37.2,"6,0803, ",0,"61,203",-2.8,"61,221",-4.4,"61,227",,,-1.7,"60,228",,,,,,,359.3,3,359.3,6,1250.1," ,6",,,21.88,6,28.63,6,15.12,6,,,,,,,,,,,,,,,,
USW00012841,1936,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1566.8,,1566.8,6,123,6,83,6,18,6,,,,,0,6,8,6,0,6,301,6,123,6,,,,,,,-2.2,"6,0201, ",,,,,67.3," ,6,0615, ",38.3,"6,0728, ",0,"61,128",,,,,,,0,"60,212",-2.2,"60,201",,,,,606.5,5,606.5,6,1326.1," ,6",,,21.26,6,27.44,6,15.07,6,,,,,,,,,,,,,,,,
USW00012841,1937,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1692.8,,1692.8,6,141,6,92,6,17,6,,,,,0,6,6,6,0,6,330,6,120,6,,,,,,,-3.9,"6,1208,+",,,,,68.1," ,6,0831, ",36.7,"6,0716,+",-1.1,"61,121",-3.9,"61,207",,,,,-0.6,"60,206",,,,,,,275.2,2,275.2,6,1501.4," ,6",,,21.97,6,28.41,6,15.54,6,,,,,,,,,,,,,,,,
USW00012841,1938,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1604.3,,1604.3,6,111,6,69,6,10,6,,,,,0,6,6,6,0,6,333,6,116,6,,,,,,,-2.2,"6,0129,+",,,,,55.9," ,6,0527, ",37.8,"6,0819, ",-0.6,"61,128",,,,,,,0,"60,226",-2.2,"60,129",,,,,381.9,9,381.9,6,878," ,6",,,21.74,6,28.84,6,14.64,6,,,,,,,,,,,,,,,,
USW00012841,1939,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1789.7,,1789.7,6,110,6,80,6,19,6,,,,,0,6,6,6,0,6,338,6,105,6,,,,,,,-1.7,"6,0120, ",,,,,77.2," ,6,0615, ",37.2,"6,0623, ",-1.1,"61,231",,,,,,,0,"60,224",,,,,,,343.7,7,343.7,6,1331.5," ,6",,,22.37,6,28.82,6,15.92,6,,,,,,,,,,,,,,,,
USW00012841,1942,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012841,1943,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1793.6,,1793.6,6,105,6,68,6,11,6,,,,,0,6,2,6,0,6,325,6,101,6,,,,,72, ,-2.2,"6,0215, ",,,,,57.2," ,6,0918, ",37.2,"6,0813, ",,,,,,,,,-0.6,"60,304",-2.2,"60,215",,,,,,,,,1007," ,6",,,22.18,6,27.98,6,16.38,6,,,,,,,,,,,,,,,,
USW00012841,1944,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1887.4,,1887.4,6,114,6,80,6,11,6,,,,,0,6,1,6,0,6,325,6,135,6,114, ,,,85, ,-1.1,"6,1215, ",,,,,141.5," ,6,1018, ",37.8,"6,0624, ",-1.1,"61,215",,,,,,,,,,,,,,,318.8,8,318.8,6,1241.2," ,6",,,22.57,6,28.58,6,16.55,6,,,,,,,,,,,,,,,,
USW00012841,1945,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1964.9,,1964.9,6,110,6,73,6,12,6,,,,,0,6,1,6,0,6,331,6,124,6,151, ,,,72, ,0,"6,1125, ",,,,,214.1," ,6,0916, ",38.9,"6,0531, ",0,"61,125",,,,,,,,,,,,,,,305.7,7,305.7,6,1421.9," ,6",,,22.86,6,28.89,6,16.83,6,,,,,,,,,,,,,,,,
USW00012841,1946,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1983,,1983,6,117,6,74,6,14,6,,,,,0,6,0,6,0,6,351,6,108,6,123, ,,,87, ,2.2,"6,0126, ",,,,,88.6," ,6,0813, ",36.1,"6,0813, ",,,,,,,,,,,,,,,,,298.5,5,298.5,6,1274," ,6",,,23.31,6,29.18,6,17.43,6,,,,,,,,,,,,,,,,
