STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024127,1948,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,541.4,,541.4,0,94,0,48,0,1,0,52,,22,0,3,0,145,0,25,0,158,0,62,0,15, ,,,28, ,-20,"0,1225, ",356," ,0,1228, ",221," ,0,1204, ",44.5," ,0,0621, ",37.8,"0,0710, ",-2.2,"0,1017",-2.2,"0,1017",-4.4,"0,1105",-8.3,"0,1108",-10.6,"0,1127",-0.6,"X,0510",-2.2,"X,0503",-5.6,"X,0331",-10,"X,0321",-10,"X,0321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.1," ,0",,,2017," ,0",10.31,0,17.04,0,3.57,0,,,,,,,,,,,,,,,,,,
USW00024127,1949,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,537.3,,537.3,0,95,0,47,0,1,0,81,,20,0,20,0,140,0,49,0,152,0,50,0,40, ,,,38, ,-30,"0,0125, ",584," ,0,0124,+",163," ,0,0120, ",25.4," ,0,0520, ",38.9,"0,0805, ",0,"0,1019",-2.2,"0,1022",-5,"0,1204",-12.8,"0,1211",-12.8,"0,1211",-0.6,"0,0415",-3.9,"0,0328",-7.2,"0,0227",-7.2,"0,0227",-11.7,"0,0220",3730.8,8,,,,,3730.8,0,,,,,,,,,,,,,,,,,,,,,425.1," ,0",,,1595," ,0",9.99,0,16.77,0,3.22,0,,,,,,,,,,,,,,,,,,
USW00024127,1950,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,435.3,,435.3,0,83,0,40,0,0,0,31,,13,0,4,0,125,0,26,0,158,0,40,0,34, ,,,29, ,-20,"0,0203,+",152," ,0,0128, ",140," ,0,0123, ",19.1," ,0,0508, ",38.3,"0,0701, ",-0.6,"0,1001",-6.7,"0,1109",-6.7,"0,1109",-6.7,"0,1109",-10.6,"0,1110",0,"0,0519",-3.3,"0,0425",-5,"0,0329",-7.2,"0,0313",-11.1,"0,0204",3303.4,4,,,,,3303.4,0,,,,,,,,,,,,,,,,,,,,,343.4," ,0",,,1001," ,0",10.85,0,17.53,0,4.17,0,,,,,,,,,,,,,,,,,,
USW00024127,1951,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,404.1,,404.1,0,103,0,44,0,2,0,58,,19,0,1,0,145,0,22,0,147,0,34,0,28, ,,,36, ,-19.4,"0,1208, ",203," ,0,0122, ",140," ,0,1206, ",34," ,0,1003, ",38.3,"0,0715, ",0,"0,1018",-3.3,"0,1031",-8.9,"0,1101",-8.9,"0,1101",-8.9,"0,1101",0,"0,0513",-2.2,"0,0412",-5,"0,0411",-7.2,"0,0318",-8.9,"0,0303",3059.7,7,,,,,3059.7,0,,,,,,,,,,,,,,,,,,,,,445.4," ,0",,,1708," ,0",10.16,0,16.67,0,3.64,0,,,,,,,,,,,,,,,,,,
USW00024127,1952,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,516.6,,516.6,0,80,0,42,0,1,0,79,,28,0,3,0,138,0,36,0,174,0,45,0,34, ,,,40, ,-18.3,"0,0104,+",254," ,0,0311,+",279," ,0,0311, ",25.7," ,0,0414, ",37.8,"0,0723, ",0,"0,1015",-4.4,"0,1103",-4.4,"0,1103",-8.3,"0,1123",-11.1,"0,1125",-0.6,"0,0409",-7.2,"0,0323",-7.2,"0,0323",-7.2,"0,0323",-15,"0,0303",3541.9,9,,,,,3541.9,0,,,,,,,,,,,,,,,,,,,,,385.2," ,0",,,2529," ,0",10.54,0,17.01,0,4.08,0,,,,,,,,,,,,,,,,,,
USW00024127,1953,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,555.8,,555.8,0,81,0,33,0,1,0,27,,14,0,0,0,118,0,7,0,150,0,53,0,12, ,,,24, ,-12.2,"0,1228, ",203," ,0,0115, ",216," ,0,0114, ",34.5," ,0,0114, ",38.3,"0,0724,+",-2.2,"0,1021",-2.2,"0,1021",-5,"0,1119",-6.7,"0,1120",-11.1,"0,1211",0,"0,0504",-2.2,"0,0415",-4.4,"0,0410",-7.2,"0,0303",-9.4,"0,0221",3039.6,6,,,,,3039.6,0,,,,,,,,,,,,,,,,,,,,,313.5," ,0",,,1018," ,0",11.75,0,18.38,0,5.12,0,,,,,,,,,,,,,,,,,,
USW00024127,1954,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,526.6,,526.6,0,69,0,29,0,2,0,28,,12,0,0,0,135,0,13,0,165,0,48,0,34, ,,,33, ,-13.9,"0,1228,+",152," ,0,0125, ",142," ,0,0218, ",41.1," ,0,0804, ",38.9,"0,0802, ",-1.1,"0,0930",-2.2,"0,1014",-6.7,"0,1128",-6.7,"0,1128",-9.4,"0,1129",0,"0,0528",-3.9,"0,0331",-6.7,"0,0314",-6.7,"0,0314",-10.6,"0,0313",2908.3,3,,,,,2908.3,0,,,,,,,,,,,,,,,,,,,,,315.9," ,0",,,832," ,0",11.49,0,18.45,0,4.52,0,,,,,,,,,,,,,,,,,,
USW00024127,1955,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,522.4,,522.4,0,95,0,35,0,0,0,79,,26,0,5,0,153,0,38,0,142,0,57,0,45, ,,,19, ,-25.6,"0,1116, ",229," ,0,0117, ",244," ,0,0402, ",19.1," ,0,0724, ",38.9,"0,0715, ",-3.3,"0,1006",-3.3,"0,1006",-4.4,"0,1101",-16.1,"0,1114",-16.1,"0,1114",-1.1,"0,0516",-2.2,"0,0426",-9.4,"0,0405",-9.4,"0,0405",-9.4,"0,0405",3630.6,6,,,,,3630.6,0,,,,,,,,,,,,,,,,,,,,,347," ,0",,,2296," ,0",9.67,0,16.57,0,2.78,0,,,,,,,180,X,,,,,,,25.7,X,,
USW00024127,1956,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,522.3,,522.3,0,76,0,36,0,0,0,45,,17,0,5,0,141,0,22,0,167,0,61,0,48, ,,,27, ,-19.4,"0,1208, ",178," ,0,1208,+",168," ,0,1024, ",18.3," ,0,1205, ",38.3,"0,0710,+",-1.1,"0,1020",-3.3,"0,1024",-5.6,"0,1025",-7.8,"0,1101",-10,"0,1102",0,"0,0415",-2.2,"0,0409",-4.4,"0,0406",-7.8,"0,0328",-10.6,"0,0312",3146,0,,,,,3146,0,,,,,,,,,,,,,,,,,,,,,315," ,0",,,1504," ,0",10.76,0,18.1,0,3.41,0,,,,,,,,,,,,,,,100.2,X,,
USW00024127,1957,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,532.4,,532.4,0,109,0,50,0,4,0,36,,16,0,1,0,126,0,10,0,139,0,63,0,47, ,,,38, ,-18.9,"0,0130, ",152," ,0,0125, ",140," ,0,1102, ",36.6," ,0,0423, ",37.2,"0,0731,+",-1.1,"0,1028",-3.3,"0,1029",-5,"0,1118",-7.8,"0,1121",-9.4,"0,1122",0,"0,0428",-2.8,"0,0327",-6.1,"0,0324",-7.8,"0,0205",-10.6,"0,0131",3269.4,4,,,,,3269.4,0,,,,,,,,,,,,,,,,,,,,,469.3," ,0",,,1153," ,0",10.92,0,17.62,0,4.22,0,,,,,,,270,X,,,,,,,20,X,,
USW00024127,1958,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,628.6,,628.6,0,82,0,30,0,1,0,21,,16,0,0,0,131,0,5,0,166,0,69,0,50, ,,,27, ,-14.4,"0,1118, ",229," ,0,1116, ",257," ,0,0423, ",37.1," ,0,0423, ",38.9,"0,0627, ",-0.6,"0,0925",-2.8,"0,1021",-7.8,"0,1115",-7.8,"0,1115",-12.2,"0,1116",0,"0,0429",-2.2,"0,0327",-4.4,"0,0317",-6.7,"0,0309",-10,"0,0123",3103.7,7,,,,,3103.7,0,,,,,,,,,,,,,,,,,,,,,273.6," ,0",,,1565," ,0",11.97,0,19.16,0,4.77,0,,,,,,,315,X,,,,,,,22.1,X,,
USW00024127,1959,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,556.2,,556.2,0,83,0,39,0,1,0,31,,13,0,1,0,144,0,10,0,140,0,61,0,15, ,,,33, ,-18.3,"0,0104, ",203," ,0,0209, ",216," ,0,0208, ",27.2," ,0,0418, ",38.3,"0,0723, ",-0.6,"0,1002",-2.2,"0,1026",-4.4,"0,1031",-7.8,"0,1105",-10,"0,1113",-1.1,"0,0421",-2.2,"0,0416",-5.6,"0,0410",-6.7,"0,0305",-11.7,"0,0214",2978.5,5,,,,,2978.5,0,,,,,,,,,,,,,,,,,,,,,351.7," ,0",,,1012," ,0",10.92,0,18.03,0,3.8,0,,,,,,,270,X,,,,,,,26.2,X,,
USW00024127,1960,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,643.7,,643.7,0,85,0,35,0,1,0,59,,15,0,4,0,136,0,24,0,170,0,69,0,54, ,,,32, ,-20,"0,0229, ",229," ,0,0102, ",135," ,0,0213, ",26.4," ,0,0822, ",41.7,"0,0726, ",0,"0,1014",-2.2,"0,1016",-5,"0,1029",-7.8,"0,1030",-9.4,"0,1205",-0.6,"0,0519",-4.4,"0,0417",-4.4,"0,0417",-9.4,"0,0316",-9.4,"0,0316",3464.5,5,,,,,3464.5,0,,,,,,,,,,,,,,,,,,,,,314.6," ,0",,,1380," ,0",11.03,0,18.22,0,3.83,0,,,,,,,180,X,,,,,,,30.8,X,,
USW00024127,1961,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,713.5,,713.5,0,84,0,31,0,0,0,33,,16,0,2,0,138,0,13,0,155,0,82,0,39, ,,,30, ,-23.3,"0,1210, ",152," ,0,0219, ",188," ,0,0218, ",19.1," ,0,1028, ",40,"0,0621, ",0,"0,0924",-2.2,"0,1023",-5,"0,1029",-6.7,"0,1105",-9.4,"0,1118",-0.6,"0,0506",-2.2,"0,0505",-4.4,"0,0406",-11.1,"0,0226",-11.1,"0,0226",3063.3,3,,,,,3063.3,0,,,,,,,,,,,,,,,,,,,,,299.2," ,0",,,1263," ,0",11.22,0,18.37,0,4.06,0,,,,,,,270,X,,,,,,,31.4,X,,
USW00024127,1962,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,517,,517,0,78,0,35,0,1,0,50,,19,0,7,0,133,0,47,0,155,0,56,0,55, ,,,34, ,-25.6,"0,0123, ",229," ,0,0121, ",246," ,0,0120, ",57.9," ,0,0713, ",38.3,"0,0815, ",-0.6,"0,1016",-2.8,"0,1106",-4.4,"0,1107",-7.8,"0,1123",-11.7,"0,1224",-2.2,"0,0430",-2.2,"0,0430",-6.1,"0,0316",-9.4,"0,0315",-9.4,"0,0315",3690.4,4,,,,,3690.4,0,,,,,,,,,,,,,,,,,,,,,378.6," ,0",,,1421," ,0",10.3,0,17.45,0,3.15,0,,,,,,,180,X,,,,,,,27.8,X,,
USW00024127,1963,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,550.3,,550.3,0,78,0,43,0,0,0,49,,18,0,7,0,145,0,35,0,167,0,57,0,56, ,,,33, ,-27.8,"0,0112, ",152," ,0,0316, ",201," ,0,0315, ",23.4," ,0,0315, ",38.9,"0,0724, ",-0.6,"0,1027",-3.3,"0,1116",-4.4,"0,1117",-6.7,"0,1118",-12.8,"0,1210",-1.1,"0,0424",-2.2,"0,0423",-12.2,"0,0316",-12.2,"0,0316",-12.2,"0,0316",3363.8,8,,,,,3363.8,0,,,,,,,,,,,,,,,,,,,,,358.3," ,0",,,1494," ,0",10.48,0,17.47,0,3.48,0,,,,,,,315,X,,,,,,,42.1,X,,
USW00024127,1964,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,432.3,,432.3,0,97,0,43,0,1,0,84,,26,0,5,0,158,0,36,0,147,0,54,0,46, ,,,39, ,-23.3,"0,0113, ",178," ,0,0323,+",292," ,0,0322, ",27.9," ,0,1223, ",38.3,"0,0718, ",-0.6,"0,0919",-5,"0,1017",-5,"0,1017",-7.2,"0,1115",-10.6,"0,1117",0,"0,0505",-2.2,"0,0503",-8.3,"0,0325",-8.3,"0,0325",-11.7,"0,0314",3799.3,3,,,,,3799.3,0,,,,,,,,,,,,,,,,,,,,,454.8," ,0",,,2020," ,0",9.03,0,16.14,0,1.92,0,,,,,,,315,X,,,,,,,29.3,X,,
USW00024127,1965,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,330.5,,330.5,0,97,0,50,0,3,0,38,,16,0,0,0,133,0,24,0,160,0,31,0,38, ,16, ,34, ,-16.1,"0,0122, ",102," ,0,0125, ",135," ,0,0505, ",35.1," ,0,0423, ",36.7,"0,0728,+",-0.6,"0,0917",-2.8,"0,0918",-5.6,"0,1128",-6.7,"0,1129",-8.9,"0,1130",-2.8,"0,0507",-2.8,"0,0507",-10,"0,0325",-10,"0,0325",-10,"0,0325",3329,0,,,,,3329,0,,,,,,,,,,,,,,,,,,,,,468.9," ,0",66.9,X,1311," ,0",10.25,0,17.15,0,3.34,0,184716,X,,,,,225,X,225,X,,,,,26.2,X,16.5,X
USW00024127,1966,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,626,,626,0,66,0,26,0,0,0,40,,19,0,1,0,142,0,30,0,170,0,74,0,45, ,7, ,33, ,-19.4,"0,0213, ",229," ,0,0302, ",208," ,0,0302, ",21.3," ,0,1013, ",38.9,"0,0719, ",-0.6,"0,1010",-2.2,"0,1014",-4.4,"0,1022",-8.3,"0,1124",-8.9,"0,1125",-1.1,"0,0523",-2.2,"0,0428",-5,"0,0404",-8.3,"0,0322",-12.2,"0,0306",3153.3,3,,,,,3153.3,0,,,,,,,,,,,,,,,,,,,,,229," ,0",74.2,X,1517," ,0",11.25,0,18.69,0,3.81,0,204774,X,,,,,180,X,,,,,,,24.2,X,,
USW00024127,1967,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,575,,575,0,99,0,50,0,0,0,61,,24,0,0,0,143,0,23,0,154,0,68,0,27, ,7, ,49, ,-16.7,"0,0111, ",279," ,0,0107, ",216," ,0,1216, ",23.9," ,0,0716, ",38.3,"0,0721, ",-1.7,"0,1015",-2.2,"0,1024",-4.4,"0,1102",-7.2,"0,1126",-8.9,"0,1127",-1.1,"0,0513",-2.2,"0,0502",-7.2,"0,0330",-7.2,"0,0330",-9.4,"0,0125",3198.9,9,,,,,3198.9,0,,,,,,,,,,,,,,,,,,,,,420.5," ,0",65.5,X,2294," ,0",11.01,0,18.17,0,3.85,0,180750,X,,,,,315,X,225,X,,,,,31.9,X,21,X
USW00024127,1968,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,453.1,,453.1,0,100,0,56,0,0,0,68,,23,0,2,0,143,0,24,0,147,0,47,0,54, ,12, ,39, ,-17.8,"0,0113,+",203," ,0,1221,+",241," ,0,1211, ",24.1," ,0,1014, ",38.9,"0,0719, ",0,"0,0922",-2.8,"0,1017",-5,"0,1113",-6.7,"0,1114",-12.2,"0,1201",-1.1,"0,0507",-2.8,"0,0423",-6.1,"0,0311",-15,"0,0215",-15,"0,0215",3305.5,5,,,,,3305.5,0,,,,,,,,,,,,,,,,,,,,,536.9," ,0",68.2,X,2157," ,0",10.12,0,17.05,0,3.19,0,187914,X,,,,,315,X,315,X,,,,,27.8,X,24.1,X
USW00024127,1969,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,569.8,,569.8,0,88,0,45,0,2,0,55,,18,0,0,0,135,0,18,0,157,0,59,0,50, ,17, ,40, ,-17.2,"0,0204, ",203," ,0,0226,+",211," ,0,0225, ",34.5," ,0,0729, ",37.2,"0,0824,+",0,"0,1013",-2.2,"0,1014",-7.2,"0,1117",-7.2,"0,1117",-9.4,"0,1118",-0.6,"0,0426",-2.2,"0,0326",-5,"0,0325",-6.7,"0,0227",-9.4,"0,0218",3371.9,9,,,,,3371.9,0,,,,,,,,,,,,,,,,,,,,,409.4," ,0",71.4,X,1754," ,0",11.01,0,17.7,0,4.32,0,198864,X,,,,,315,X,225,X,,,,,27.2,X,20.1,X
USW00024127,1970,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,540.6,,540.6,0,105,0,53,0,1,0,36,,15,0,3,0,131,0,15,0,133,0,54,0,27, ,11, ,37, ,-18.3,"0,1224,+",279," ,0,1219,+",224," ,0,1217, ",55.6," ,0,0905, ",39.4,"0,0626, ",-1.1,"0,0925",-2.2,"0,1015",-4.4,"0,1027",-6.7,"0,1212",-12.2,"0,1218",-0.6,"0,0429",-2.2,"0,0421",-5,"0,0401",-7.2,"0,0331",-10.6,"0,0129",3136.7,7,,,,,3136.7,0,,,,,,,,,,,,,,,,,,,,,505.8," ,0",64.3,X,1588," ,0",10.83,0,17.44,0,4.22,0,176574,X,,,,,225,X,315,X,,,,,29.8,X,20.6,X
USW00024127,1971,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,502.3,,502.3,0,109,0,56,0,1,0,56,,25,0,3,0,134,0,23,0,137,0,60,0,28, ,8, ,37, ,-21.1,"0,0106, ",178," ,0,1101, ",216," ,0,1031, ",30.5," ,0,0930, ",37.8,"0,0814,+",0,"0,0928",-3.3,"0,1028",-7.8,"0,1029",-7.8,"0,1029",-8.9,"0,1030",0,"0,0416",-2.2,"0,0413",-5.6,"0,0401",-7.2,"0,0318",-16.1,"0,0302",3339.7,7,,,,,3339.7,0,,,,,,,,,,,,,,,,,,,,,477.6," ,0",66.6,X,1983," ,0",10.22,0,16.88,0,3.55,0,184998,X,,,,,225,X,315,X,,,,,28.8,X,18.3,X
